stage,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,1.87,0,0,0,0,0,0,1.17,0,0,0,0,0,0,0,0,0,2.61,0,0,0,13.49,0,0,0,0,1.51,2.79,2.01,0,1.72,5.68,0,1.62,0,0
 24-34,0,1.67,1.27,0,2.2,0,0,0,0,0,0,2.76,1.36,1.56,0,2.33,0,0,10.89,0,0,1.06,37.8,0,1.05,0.69,0,3.28,0,0,0,0,7.79,0,2.44,0,0.75
 36-46,0,2.27,0,0,5.3,0,0,1.73,2.26,0,0.76,0,0,8.41,0,0,0,0,18.51,0,0.63,2.92,113.38,0.56,0.87,0,0,5.3,0,0,0,0,22.89,0,0.61,0,0
 48-58,0.42,0.88,0,0,16.07,0,0,4.78,5.96,0,0,2.98,8.11,0.4,0,0,0,0,28.2,0.57,0.83,1.7,114.67,0.71,0.58,0.54,0,0.65,0,0,0,0,31.62,1.53,3,0,3.6
 60-70,0,0,0,0,17.86,0.62,0,16.79,3,0,0,1.43,19.54,0.58,6.88,0,0,0,40.9,0,3.03,1.65,84.83,1.69,1.69,0,0.84,4.37,0,0,0,0,12.85,2.2,6.58,1.34,0.72
 72-82,2.12,3.54,7.15,0,48.21,0,0.73,15.79,14.53,0,0,1.49,67.62,1.31,0.5,1.27,1.03,0,80.34,0,14.41,4.37,127.56,0.52,1.45,5.08,2.12,1.91,0,0,0.53,0,14.48,14.86,5.69,13.89,1.68
 84-94,1.59,2.6,8.72,0,50.15,0,1.1,3.48,2.98,1.99,0,0.94,54.18,0.58,0.62,0,1.81,0,38.98,0,8.04,1.57,87.9,0,4.44,0.89,0,18.74,0,0,0,0,16.99,7.2,1.83,14.14,2.83
 96-106,0,19,29.62,0,96.96,0.74,0.67,7.2,17.43,4.73,0,6.65,150.05,1.43,1.37,0,0,3.42,105.32,0,9.34,1.15,185.38,0.62,0,2.03,5.24,8.22,0,0,0,0,7.28,17.96,15.63,39.4,10.51
108-118,0,15.11,29.55,2.67,49.21,0,0.52,1.75,24.69,3.33,0,5.28,133.36,4.25,5.85,1.21,3.95,0.51,96.47,0,0,11.41,126.46,0,7.57,3.68,21.39,13.37,0,0.81,0,0,1.94,13.69,4.26,20.27,0.51
120,0,12.63,10.19,0,24.9,0,1.05,0,8.68,8.93,0,10.86,245.44,3.17,0,0,1.02,0,50.54,0,1.83,5.39,113.74,0,0,2.84,26.11,7.85,0,4.23,0,0,0,10.49,10.07,87.84,0
