stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,immune,ionocyte,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature
  3-4,5235.47,124524.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4023.99,0,0,0,0,0,0,0
  5-6,3813.63,42095.87,33.75,0,0,0,0,0,0,25.98,0,0,0,0,0,588.39,36.66,0,0,88.27,674.18,0,0,0,0,0,0,0
  7-9,36.59,63.7,30.55,0,0,33.33,0,0,0,25.9,0,0,0,0,0,1485.39,27.04,0,0,275.27,0,130.22,0,0,0,0,0,0
 10-12,0,0,7.4,0,0,6.05,0,0,0,3.66,0,0,0,0,0,57.39,0,0,0,6.71,0,22.71,0,0,0,0,0,0
 14-21,0,0,0,5.24,0.91,0,0,0,0,0,0,0,0.92,0,0,10.97,0,1.19,0,0,4.25,0,6.08,2.53,2.93,1.72,0,0
 24-34,0,0,0,0,0,0.78,0,0,0,0,0,0,2.82,0,1.63,11.95,0,0,0,0,3.87,0,0,0,0,6.54,0,0.64
 36-46,0,0,0,0.58,0,1.59,0,1.02,0,0,0,0,0,0,0,28.38,0,0,0,0,5.2,0,0,0.75,0,4.94,0,0
 48-58,0,0,0,0.71,0,3.94,0,0.48,0,0.37,0,0,2.74,0,0,21.82,0,0,0,0,1.26,0,0,0,0,6.68,0,0
 60-70,0,0,0,0,0,4.19,0,0,0,0,0,0,0,0,0,15.95,0,0,0,0,4.93,0,0,0,0,1.61,0,0
 72-82,0,0,0,2.18,0,7.53,0,1.72,0,0,0,0,0.7,0,0,26.4,0,0,2.8,0,7.05,0,0,0,0,6.05,1.01,0
 84-94,0,0,0,2.48,0,2.53,0,0.67,0,0,0.56,0,0.61,0,0,22.65,0,0,0,0,53.05,0,0,0,0,0,4.75,0
 96-106,0,0,0,1.5,0,1.14,0,3.45,0,0,0,0.63,0,0,0,21.88,0,0,0,0,33.41,0,0,0,0,0,0,0
108-118,0,0,0,1.77,0,0,0,0,0,0,0,0.58,3.2,0.59,0,30.41,0,0,0,0,23.9,0,0,0,0,0.46,0,0
120,0,0,0,0,0,0,1.77,11.76,1.29,0,0,0,4.44,0,0,34.59,0,0,0,0,13.79,0,0,0,0,0,0,0
