stage,axial,blastomeres,endoderm,epidermis,eye,fast.muscle,fin.mesenchyme,glial,gut,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,20.88,108.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32,203.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,3.51,0,6.22,0,0,0,0,0,0,0,0,58.96,4.46,0,0,20.7,0,0,0,0,0,0,0
 10-12,0,0,4.42,0,0,0,0,0,0,0,0,0,0,69.94,0,0,0,16.98,0,0,0,0,0,0,0
 14-21,0,0,0,2.39,1.32,0,0,0,0,0,3.1,0,0,7.58,0,0,0,2.01,1.19,0,0,0.88,5.62,0,0
 24-34,0,0,0,1.36,2.85,0,0,0,0,0,2.99,0,0,25.12,0,0,0.85,0,0,0,0,0,8.08,0.91,0.89
 36-46,0,0,0,0,3.66,0,0,1.04,0,0,5.26,0,0,24.99,0,0.6,0,0,0,0,0,0,4.08,2.35,0
 48-58,0,0,0,0.38,11.98,0,0,3.81,0,0,2.08,0,0,15.64,0,0,0,0,0,0,0,0,1.27,0.9,0
 60-70,0,0,0,0,17.96,0,0,4.64,0,0,0,0.84,0,10.4,0,0,0.99,0,0,0,0,0,0,0,0
 72-82,0,0,0,0,10.29,0,0,3.25,0,0,4.33,0,0,20.52,0,0,1.01,0,0,0,0,0,2.38,0,1.97
 84-94,0,0,0,1.3,2.09,0,0,0,0,0,0.73,0,0.65,2.18,0,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,1.46,0,0,2.29,0,0.94,0,1.62,0,0,0.58,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,1.08,1.48,0.66,0,1.14,0,0.83,8.45,0,0,10.74,0,0,0,0,0,0.52,0.69,0,0,0,0
120,0,0,0,0,0,0,0,0,0,1.43,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
