stage,axial,blastomeres,epidermis,gut,immune,ionocyte,mucous,neural,olfactory,periderm,spinal.cord,taste
  3-4,16.57,178.58,0,0,0,0,0,0,0,0,0,0
  5-6,0,48.44,0,0,0,0,0,7.48,0,0,0,0
 24-34,0,0,0,0,0,11.41,0,0,0,0.8,0,0
 48-58,0,0,0,0,0,0,0,0,0,0.57,0.58,0
 60-70,0,0,0,0,0,0,2.73,0,1.89,0,1.85,0
 72-82,0,0,3.19,0,0,0,0.92,2.72,1.22,0,0,5.17
 84-94,0,0,9.76,0,0,0,0,0,0.66,2.75,13.71,6.62
 96-106,0,0,3.51,0,1.36,0,0,9.06,0,1.14,0.83,23.58
108-118,0,0,7.55,0,0.7,0,0,0,0,0,0.48,13.84
120,0,0,15.81,1.21,1.38,2.19,0,3.57,0,0,0,0
