stage,blastomeres,endoderm,erythrocytes,eye,fast.muscle,glial,immune,mesenchyme,muscle,neural,notochord,paraxial.mesoderm,slow.muscle,somites,spinal.cord
  3-4,33.77,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,47.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,7.34,0,0,0,0,0,18.86,3.99,17.55,0,0,0
 10-12,0,9.58,0,0,0,0,0,0,0,66.95,0,14.96,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,3.24,1.77,0
 24-34,0,0,0,0,0,0,2.85,0,0.91,0,0,0,0,0,0
 36-46,0,0,1.41,0,0,0,5.2,0,0,0,0,0,0,0,0
 48-58,0,0,0,0,0,0,16.53,0,0,0,0,0,0,0,0.93
 60-70,0,0,0.66,1.25,0.63,5.37,4,0,0,0,0,0,0,0,0
 72-82,0,0,0,6.35,0,0,22.9,0.63,0,0.87,0,0,0,0,0
 84-94,0,0,0,0,0,0,23.94,0,0,0.98,0,0,0,0,0
 96-106,0,0,0,0,11.36,0,39.45,0,0,0,0,0,0,0,0
108-118,0,0,0.71,0,7.08,0,26.34,0,0,0,0,0,0,0,0
120,0,0,2.18,0,0,0,68.22,6.66,0,1.4,0,0,0,0,0
