stage,blastomeres,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  5-6,7.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.63,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.08,0,0,0,9.05,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,28.1,0,0,0,4.39,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2518.6,3.99,0,0,34.2,0,0,0,0,23.19,0,0,0,0,0,0,0,0
 14-21,0,1.98,1937.54,1.88,0,5.47,0,0,0,2.62,0,0,0,87.9,0,0,0,0,4.82,0.95,0,2.57,56.79,4.5,0,0,1.32,0,9.32,1.31,11.51,0.87,5.17,12.82,3.22,0,0,0,0,0
 24-34,0,0,35,0,0,12.81,0,0,0.64,0,0,0,0,0.6,0,0.78,0,0,4.52,0,0,0,28.41,0,0,0,0,0,0,1.06,0,0,3.47,1.28,6.43,0,0,0,0,0
 36-46,0,0,1.82,0,0,73.13,0,0,0,1.96,0,0,0,0,0,0,0,0,2.59,0,0,0,9.93,0,0,0,0,0,0,1.69,0,0,0,0,2.21,0,0,0,0,0
 48-58,0,0,1.63,0,0,119.78,0,0,0.66,3.85,0,0.5,0,0,0,0,0,0,9.56,0,0,0.89,90.73,0,0,0,0,0,0,0,0,0,0,0,4.3,0,0,0,0,0
 60-70,0,0,0,2.11,0,3070.25,0,0,0,6.47,0,0,0,0,0,0,0,0,4.71,0,0,0,137.14,0,0,0,0,0,12.99,0,0,0,0,0,2.73,0,4.5,0,0,0
 72-82,0,0,122.09,7.45,0,17180.72,5.67,0,9.23,242.02,7.28,17.26,13.81,2.05,13.55,1.04,91.91,6.74,124.61,0,2.29,3.68,628.63,18.96,0,4.07,0,7.83,6.96,0.56,0,2.8,0,0,13.86,0,1.71,12.85,0.49,4.17
 84-94,0,0,46.48,12.64,0,12864.38,3.37,2.68,3.59,325.11,0.64,0.78,0.71,3.61,0.83,1.05,6.69,0,110.73,8.55,2.42,10.28,317.28,0.65,0,10.15,0,7.19,11.84,0,0,0,0,0,42.64,0.77,4.76,1.28,13.74,0
 96-106,0,0,100.72,28.73,4.27,13933.11,7.64,2.6,2.49,118.27,2.64,0,2.03,0,7.18,0,9.03,0,122.77,0,7.61,6.91,302.58,0.86,4.56,0.62,0,0,45.71,4.74,0,1.51,2.56,0,3.24,6.18,1.5,11.01,3.17,12.22
108-118,0,0,30.18,12.87,0.64,12169.86,1.19,5.37,5.48,166.96,0.54,0,4.28,0.57,0.51,0.52,4.15,0,178.26,0,21.03,18.27,454.14,1.67,1.04,8.62,0,1.49,9.73,0,0,0,0,0,10.43,0,1.74,3.01,16.34,13.67
120,0,3.17,70.3,4.49,0,8470.41,7.94,4.8,6.64,229.3,9.8,4.06,11.12,1.63,8.35,0,5.66,0,179.62,0,0,8.42,808.32,18.1,8.84,3.1,0,0,5.86,0,0,0,0,0,14.43,1.06,0,2.48,40.78,17.83
