stage,muscle,neural,notochord,periderm,spinal_cord
 10-12,0,45.29,3.05,0,0
 14-21,0,0,0,0,1.03
 24-34,0.79,1.73,0,0,0
 60-70,0,1.08,0,2.88,0
 72-82,0,0.92,0,0,0
