stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,15.7,338.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21.1,0,0,0,0,0,0,0,0,0,0
  5-6,8.71,63.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.75,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,4.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20.61,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,1.29,0,0,0,0,0,0.95,0,0,0,0,0,0,0,0,0,0,6.8,0,1.44,1.27,0,0,0,3.35,2.23,0,0.87,3.7,4.01,0,0,0,0
 24-34,0,0,1.29,0,0,0,0.64,0,0,0,0,0,0,0,0,0,0,0,0,2.16,0,0,1.03,231.29,0,19.28,1.55,0,0,1.07,0,0,0,1.21,0,31.06,0,7.2,0,0
 36-46,0,0,0,0,0,0,5.97,0,0,0,0,0.67,0,0,4.23,0,0,1.74,0,0.94,0,0,0.7,575.57,0,18.38,0,0,0,0,0,0,0,5.67,0,122.35,0,0,0,4.08
 48-58,0,0,0,10.62,0.77,0,118.32,1.51,5.93,0.88,6.59,0,0,1.17,0,0,0,3.86,1.28,11.71,0.47,0,0.57,1392.14,0,6,2.81,0,0,0.56,0,0,0.53,2.79,0,124.84,0,0,0,0
 60-70,0,0,0.89,4.28,0,0,422.11,0,7.15,0,27.29,0,0,0,0,0,1.16,4.47,0,16.48,0,0,0,2759.8,0,15.57,7.7,0,0,0,0,0,0,3.7,0,350.8,0.61,0.85,2.76,7.94
 72-82,0,0,0.79,7.31,1.44,0,444.34,0.55,0.63,0,31.36,3.64,0,0,2.92,3.21,8.6,0,1.89,43.36,0.92,0.49,1.41,2946.91,1.67,12.84,1.95,0,0,0,0,0,6.44,0,0,438.18,0.69,3.02,0,0
 84-94,0,0,1.16,12.3,12.11,0,406.8,0,0,0.77,32.47,0.68,0,0,0.76,9.96,0.66,0,0.95,34.97,0,0,1.68,1957.42,0,26.73,10.52,0,0,5.93,0,0,0.87,11.2,0,286.92,0,0.84,0,9.13
 96-106,0,0,1.91,12.15,5.93,1.07,348.29,0.87,1.49,0,46.94,0,0,0.96,1.28,1.95,0.9,0,2.25,41.82,0,0,4.99,1806.32,1.87,15.98,10.33,0,0,4.96,0,0,0,1.43,0,182.17,1.13,17.46,0.61,3.35
108-118,0,0,0,15.11,7.03,6.58,390.22,5.52,1.46,1.6,35.41,2.35,0,0,1.52,1.86,0.48,7.27,0,28.32,1.3,0,2.65,2683.6,0,11.58,12.19,0,1.82,7.57,0,0,0.94,0.89,0,122.43,0,2.85,1.03,0
120,0,0,0,35.47,3.63,0,569.6,0,0,0,82.52,0,0,0,9.51,0,0,3.92,0,33.11,0,0,11.6,3709.7,0,6.29,11.98,0,0,0,0,0,1.2,4.38,0,147.79,0,0,3.99,0
