stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,slow.muscle,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,12.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,1.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,60.29,2.42,1.19,0,0,0,0,66.29,0,0,0,0
 24-34,0,0,0,0.59,8.41,0,16.89,0,0.62,0,1.56,0,0,0,0,0,5.54,0,1.06,0,0,0,395.9,0,12.33,1.32,0,0,0,149.63,0,0,0,0
 36-46,0,0,1.35,0,3.77,0,88.35,0,0,0,3.4,0,0,0,0,0,0,0,12.78,0,0,0,876.45,0,2.7,0,0,0,0,182.87,0,0,0,0
 48-58,0,0,0.42,0,12.59,0,284.89,0,0,0,14.45,0,0.93,0.97,0,0,0,3.06,50.01,0,0,4.11,1138.01,0,4.97,2.87,0.37,0,0,199.72,0,1.61,0,0
 60-70,0,0,0.65,0,2.03,0,565.31,0,0,0.93,17.83,0.62,0,0,0,0,0,0,96.62,0,0,8.11,1455.6,1.73,7.43,4.46,1.75,0,0,136.91,0,0.64,0,2.19
 72-82,0,0,2.8,0,7.45,0,604.08,0,0,0,14.1,0.85,0,0.63,0.84,0,1.59,0,103.81,0,0.56,0,997.42,0,2.01,3.53,4.29,1,0,102.13,0.53,0,0.86,6.28
 84-94,0,0,1.15,0,7.26,3.99,337.64,0,0,1.3,22.94,1.31,0,2.63,0,1.44,0,6.93,145.23,0,6.25,0,628.54,0,0.76,11.86,0.9,0,0.64,58.22,1.37,0,2.8,0
 96-106,0,0,2.55,0,9.9,1.11,374.59,0,0.86,8.29,8.06,2.52,0,3.72,0,0,0,0,149.84,1.34,0,0.79,473.06,0,5.31,7.1,4.66,0,0,17.92,4.2,2.47,0,0
108-118,0,0,6.51,0,9.35,0.44,318.29,0,0.43,2.32,19.52,0.95,0,10.1,0,4.83,0,0,95.46,0,0,0,577.58,0,2.43,9.89,0,0,0,21.53,0.92,3.91,0,0
120,0,0,2.52,0,2.07,0,346.14,5.69,0,5.01,3.8,1.73,0,19,0,0,0,0,132.56,0,0,0,666.66,0,0,17.25,0,0,0,45.65,9.54,0,0,0
