stage,blastomeres,epidermis,eye,fin.epithelia,glial,hatching.gland,ionocyte,lateral.line,mesenchyme,neural,olfactory,otic,periderm,pronephros,spinal.cord,taste
  3-4,49.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,25.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,11.35,0,0,0,0,0,0
 14-21,0,0.9,0,0,0,0,0,0,0,0,0,0,2.22,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,9.99,1.27,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,4.17,0,0,0,0,0,0
 48-58,0,0,0,0,0,4.38,0,0,0,6.84,0,0,0,0,0.92,0
 60-70,0,0,1.63,0,0,0,0,0,0,2.43,0,0,0,0,0,0
 72-82,0,0,1.3,0,3.28,0,0,0,0.52,13.01,7.24,2.35,0,0,0,0
 84-94,0,0,0,0,2.72,0,0,0,1.76,23.51,1.11,0,0.64,0,0,0
 96-106,0,3.23,28.16,0.67,0,0,0,0,1.94,16.91,6.84,6.06,0.66,0.7,2.09,0.59
108-118,0,9.34,0,0.42,2.57,0,0.43,0.47,2.88,24.5,3.18,1.82,3.55,0,0,0.91
120,0,9.27,12.08,3.65,0,0,0,0,0,9.42,1.12,2.56,1.17,0,0,0
