stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,slow_muscle,somites,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,48.6,949.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,54.84,0,0,0,0,0,0,0,0,0
  5-6,0,665.41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,16.48,0,41.17,0,0,0,21.27,0,0,0,0,0,7.69,0,0,0,0,0,0,0,0,0,0,0,293.34,8.53,0,0,184.96,0,0,5.15,0,0,0,0,0,0,0,0
 10-12,0,8.61,0,10.13,0,5.53,0,60.28,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,479.2,5.38,0,0,100.36,0,0,15.49,17.14,0,0,3.28,0,0,0,0
 14-21,0,0,0,4.14,7.19,1.06,0,3.4,0,0,0,1.81,0,0,0,0,1.93,0,0,0,0,1.78,0,0,1.77,36.1,1.29,0,0,0,0,0,2.06,0.9,0,9.51,13.72,0,0,0,0
 24-34,0,0,0,0.62,3.02,0,0,12.4,0,0,0,0,0,0,0,0,1.76,0,1.46,3.34,0.75,10.19,0,0,7.38,164,0,4.71,1.46,0,0,10.17,0,3.59,0,0.66,22.11,0,3.06,0,0
 36-46,0,0,0,0,2.83,0,0,17.01,0,0,0,4.67,0,1.09,0,0,6.32,0.56,0,0,2.29,14.6,0,1.97,1.6,169.24,0.6,3.46,0,0,0,12.59,0,2.94,0,0,24.89,0,0.99,0,1.41
 48-58,0,0,0.54,0,1.28,2.22,0,58.92,0.67,0,0.88,13.55,0,0,0,0,0,5.31,0.46,0,6.41,2.98,0.95,0,9.26,89.36,0,0.82,0,0,0.39,5.06,0,4.74,2.18,0,25.55,0,4.79,0,0.54
 60-70,0,0,0,0,11.66,0,0,78.5,4.55,0.87,0,18.82,0,0,0,0,0,0,0,0,1.24,15.72,0.87,0,2.07,96.18,4.86,2.21,0,0,0,15,0,0.68,0,0,19.84,0,2.3,0,0
 72-82,0,0,0,0,9.12,0.94,0,44.67,0,0.62,2.69,22.34,0,0,0,1.18,1.13,0,0.79,0.59,6.34,20.59,0,0,2.94,87.93,0,0.7,2.18,0,0,2.51,0,0.76,0,0,11.06,0,7.35,2.92,0
 84-94,0,0,0,0,6.27,14.53,0,51.82,0,1.5,1.28,17.87,1.28,2.11,0,0,0,0,1.57,0,5.26,12.28,0,9.79,0.68,50.1,0.89,0,5.93,0,0,13.05,0,0.56,1.33,0,8.54,0,1.2,0,2.54
 96-106,0,0,0,0,5.94,7.33,0,55.25,0,1.91,5.17,12.26,5.39,0,1.24,1.84,0.98,1.66,0,1.55,0.65,22.17,2.21,0,4.11,55.11,0.57,0,2.4,0,0,14.29,0,0,0.56,0,9.87,0,11.28,0,0.73
108-118,0,0,0.8,0,2.7,1.24,0.44,38.37,0,0.48,3.17,20.79,5.17,0,3.38,1.13,2.39,2.94,2.3,3.9,0.91,26.52,0,3.01,1.83,54.75,0.56,3.51,2.48,0,0,11.18,0,2.79,2.15,0,1.53,0.89,2.7,0,0
120,0,0,0,0,6.41,0,0,29.64,0,2.12,0,24.76,15.41,0,0,13.4,10.16,3.65,10.99,1.06,0,9.33,0,0,8.53,142.29,0,1.57,10.47,0,0,2.64,0,4.89,0,0,0,0,9.43,0,0
