stage,epidermis,erythrocytes,eye,gut,liver,mesenchyme,neural,periderm,somites
 14-21,0,0,0,0,0,0,0,0,1.94
 24-34,0,0,0,1.02,0,0,0,0,0
 48-58,0,3.94,0,0,0,0.54,0,0,0
 60-70,0,19.01,0,0,0,0,0,0,0
 72-82,0,28.18,0.56,0,0,0,2.15,0,0
 84-94,2.08,80.11,0.62,1.36,0,0,0,2.75,0
 96-106,0,76.31,0,0,7.54,0,5.22,0,0
108-118,0,68.01,0,0.81,0,0,5.72,0,0
120,0,83.99,7.96,0,0,0,0,0,0
