stage,erythrocytes,eye,immune,neural
 36-46,0,0,0,0.91
 48-58,0,1.43,0,3.44
 72-82,0,0,6.35,0
 84-94,0,0,0.68,0
 96-106,0,0,16.33,0
108-118,0,0,21.7,0
120,14.22,0,41.01,0
