stage,axial,blastomeres,eye,neural,spinal.cord,vasculature
  3-4,10.18,164.55,0,0,0,0
  5-6,0,30.65,0,0,0,0
  7-9,4.03,0,0,7.21,0,0
 10-12,0,0,0,10.99,0,0
 24-34,0,0,0,0,1.06,1.91
 36-46,0,0,0.63,0,0,0
 48-58,0,0,3.26,0,0,0
 84-94,0,0,0,8.21,0,0
