stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,16.8,204.06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,21.83,259.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.9,0,0,8.76,0,8.98,0,0,0,0,0,0,0,0
  7-9,3.49,12.02,5.1,0,0,7.01,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,154.98,0,0,0,29.63,0,0,0,0,0,0,0,0,0,0
 10-12,0,23.22,5.61,0,0,11.55,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,109.49,4.45,0,0,64.76,0,0,0,21.43,0,0,0,0,0,0
 14-21,0,0,0,12.2,6.73,6.33,0,0,0,1.01,0,0,0,1.82,0,0,4.33,0,17.68,0,0,9.73,56.11,0,0,0,3.74,0,0.91,8.37,0,11.3,13.74,0,0,1.84,0
 24-34,0,0,1.2,3.2,1.87,6.94,0,0,0,0,0,0.81,0,3.61,0,0,0,0,14.95,0,0,10.66,63.52,1.66,0.84,0,0,0,2.24,0,0,0,9.13,0,0,2.29,0
 36-46,0,0,0,8.27,0,3.1,2.03,0,0,2.87,0,0.83,0.65,0,0,0,0,0,14.23,2.27,2.55,4.12,19.41,0,0,0,0,0,3.03,0,0,0,9.06,0,0,0.92,0
 48-58,0,0,0,2.98,0,3.82,1.34,1.45,0.9,0.98,0,0,0,4.85,5.19,0.37,0,0,18.38,0,1.18,2.03,43.69,0,0,0,0,0,0,0,0,0,2.59,0,0,0,0
 60-70,0,0,0,2.5,0,6.24,1.44,0.69,0.59,14.79,0,0,0.57,2.44,0,0.8,0,0,17.9,0,7.3,3.72,70.54,0,0.84,0.65,0,0,3.95,0,0,0,2.4,0,1.9,2.81,0
 72-82,0,0,0,1.85,0,18.82,0.95,0,0,15.45,1.29,0.75,0,0.53,0.64,0,0,0,48.91,0,2.31,2.05,28.1,0,0,1.32,0,0,2.1,0,0,0,9.32,0,0,2.83,1.78
 84-94,0,0,0,5.84,0,9.3,1.34,0,5.86,15.74,0,0,0,0.75,0,1.32,0,0,43.85,0,0.82,1.59,56.96,0.65,0.76,0,0,1.49,4.7,0,1.07,0,0,0.55,0,0,1.09
 96-106,0,0,0,4.63,0,18.75,0.64,0,3.9,21.84,0,1.47,0.56,3.48,0.74,0,0,0,55.42,0,1.81,1.43,37.34,0,0.87,0,0,8.76,18.59,0,0,0,0,1.14,1.2,2.22,0
108-118,0,0,0,8.99,0.7,4.33,1.57,1.07,4.47,11.9,0,0,3.28,3.17,0.92,0,0,1.43,30.67,0,3.02,4.32,48.56,0.67,1.26,0.43,0,3.57,11.15,0,1.86,0,0,0,0,5.41,0
120,0,0,0,16.44,0,1.08,0,0,0,10.6,0,2.63,0,1.17,0,0,0,0,56.16,0,0,6.28,141.6,2.47,0,0,0,0,1.09,0,0,0,16.26,0,5.53,0,3.36
