stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,hatching.gland,heart,immune,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,47.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,18.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.43,6.97,0,0,0,0,0,0,0,0,0,0,0,0,0,0,66.51,9.65,0,0,136.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,22.71,0,4.95,4.46,0,0,0,0,0,0,0,0,0,0,0,164.86,10.77,0,0,89.4,0,0,0,32.76,0,0,0,0,0,0
 14-21,0,0,19.49,127.35,1.01,0.88,0,0,0,5.43,0,0,0,24.5,0,6.68,48.85,0.99,0,0.89,14.34,0,29.76,6.19,5.75,0.85,10.77,13.05,103.65,0,0
 24-34,0,1.29,9.52,9.74,0,2.24,1.22,3.96,0,26.3,0,0,0,31.72,0,14.86,61.53,1.75,0,0,0,0,32.68,0,19.92,1.91,3.17,16.81,349.93,0,7.45
 36-46,0,0,6.53,0.71,14.93,0,1.36,7.89,0,44.95,0,0,0,54.7,0,12.67,67.11,4.6,0.98,8.76,0,0,17.28,0,12.19,0,0,11.96,231.89,0,6.91
 48-58,0,0,0,0.54,9.36,0,1.53,3.04,0.48,9.42,0,0,5.64,46.05,0,2.76,30.21,1.03,0.4,0.38,0,0.45,23.45,0,5.19,0,0,8.55,180.43,0,16.58
 60-70,0,0,0,5.79,15.08,0,0.83,3.39,0,12.58,0,0,15.89,39.61,0,0,27.27,0,0,0,0,2.16,9.06,0,0.73,0,0,1.92,90.25,0,19.26
 72-82,0,0,2.15,5.7,5.69,0,6.29,2.76,0,4,0,0,0,45.85,0,3.76,39,0,0,0,0,0,2.85,0,0,0,0,0,121.86,0,6.88
 84-94,0,0,0.6,0,14.07,0,4.2,8.05,0,1.18,0,0,0,18.96,1.17,0.75,26.95,0,0,0,0,0,6.83,0,0,0,0,2.36,142.61,1.25,16.23
 96-106,0,0,1.09,0,5.36,0,0,5.03,0,5.94,0.61,0.65,0,18.38,0,0.76,14.59,0,0.84,0,0,0,1.44,0,0,0,0,0.66,143.38,1.37,6.21
108-118,0,0,0,0,2.21,0,0,6.97,0,1.41,0,0,0,9.91,0,0.6,8.98,0,0,0,0,2.83,1.47,0,0.44,0,0,0,151.62,1.05,17.92
120,0,0,4.96,0,7.49,0,0,12.22,0,0,1.23,0,0,43.53,0,0,11.59,0,0,0,0,0,2.12,0,0,0,0,0,213.95,1.93,11.24
