stage,axial,blastomeres,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,9.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,56.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.15,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,9.97,14.08,9.19,0,0,0,37.6,0,0,0,0,8.41,0,0,0,0,0,0,0,0,0,0,96.56,30.31,0,0,32.19,0,0,0,0,0,0,0,0,0,0
 10-12,0,9.86,0,0,0,0,12.91,0,0,0,0,28.92,0,0,0,0,0,0,0,0,0,0,430.6,81.08,0,0,95.1,0,0,0,10.22,0,0,0,0,0,0
 14-21,0,0,0,21.13,2.31,0,7.41,0,0,2.22,0,1.39,0,0,0,0.87,0,0,0,23.16,0,37.64,117.77,27.1,0,0.84,0.94,0,0,9.94,0,12.1,47.97,0,5.18,0,0
 24-34,0,0,0.6,11.16,0,0,2.46,5.19,3.94,3.99,0.91,0,0,0,0,0,0,0,0,121.35,0,89,68.94,9.47,1.57,0.69,0,0,0,0,0,4.29,18.5,0,5.04,0,0
 36-46,0,0,0,3.9,0,0,1.36,1.51,7.45,5.73,0,0,0,0,0,0,0,0,0,140.92,0.8,38.22,49.1,7.91,0,0,0,0,1.2,0,0,0,24.24,0,8.77,0,0
 48-58,0,0,0,8.78,0,0,6.93,4.09,22.81,2.61,0,0,0.83,0,0,6.44,0,0.63,0,196.6,0,30.54,79.08,2.4,0,1.16,0,0,1.47,0,0.57,0,1.31,0,1.06,0,3.23
 60-70,0,0,0,0,0.64,0,10.21,1.46,31.33,9.51,0,0,0.87,8.16,0,0.98,0,0,0,179.44,0.87,7.26,34.72,2.03,0.84,6.41,0,0,0,0,0,0,0,0.9,1.43,0,0
 72-82,0,0,0,1.07,2.68,0,10.78,0,32.45,2.95,0,0,0,0,0,0,0,0,0,206.74,0,10.29,57.52,1.17,1.3,1.4,0,1.77,0,0,2.57,0,4.48,6.79,8.94,3.37,6.88
 84-94,0,0,0,3.4,0,1.52,9.33,1.63,17.57,4.36,0,0,3.68,0,0,0.93,0,0,0,188.64,0.72,3.8,32.46,13.28,0,4.86,0,0.6,3.47,0,0,0,5.29,2.99,11.66,3.78,0
 96-106,0,0,0,2.1,0,0,1.65,0,16.02,3.1,0,0,1.52,0,0,0,0,0,0,122.17,4.61,10.27,35.53,0.58,0,5.9,0,0,0.75,0,0,0,9.78,3,2.42,4.61,0
108-118,0,0,0,5.43,0.6,6.68,8,0,6.71,5.95,1.46,0,0,0,0.68,1.26,1.92,0,2.29,88.28,0,4.68,45.61,1.85,0.55,0,0,0,0,0,0,0,11.89,5.4,3.15,1.79,0.93
120,0,0,0,3.02,3.22,1.14,10.49,0,11.58,5.36,1.45,0,6.79,17.01,0,0,0,0,0,72.49,0,0,7.99,0,0,2.38,0,0,0,0,0,0,4.09,0,0,8.54,0
