stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,slow_muscle,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,14.29,232.29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,8.85,311.46,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,6.67,15.75,0,6.2,0,0,0,35.64,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,158.97,0,0,0,50.99,0,0,0,0,0,0,0,0,0,0
 10-12,4.89,19.16,0,15.74,0,0,0,33.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,160.22,11.89,0,0,83.81,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,1.23,3.91,70.14,1.78,0,4.82,0,0,0,0.97,0,0,7.2,0,0,0,0,0,0,11.66,0,10.6,56.73,0.92,0,0,2.36,3.03,15.79,0,25.41,43.13,33.16,0,0,2.06,0
 24-34,0,0,0,0,5.48,0,0,0.78,0,0.93,0,1.62,1.92,0,1.94,0,1.93,0,0,0.68,0,9.86,0,6.09,33.95,1.33,0,0,0,7.48,0,0,0,1.37,8.65,0,0,0,0
 36-46,0,0,0,0,15.02,0,0,0.57,0,0,1.46,0,0,0,0,0,0,0,0,0,0,2.92,0.95,1.6,43.25,0,3.07,0,16.41,4.09,0,0,0,0,3.78,0,0,1.58,0
 48-58,0,0,0,0,6.14,0,0,8.21,0.86,0.47,0,3.6,0,0.48,0,1.45,0,0,0,0.39,0,8.17,1.67,1.28,23.19,0,3.29,0,0,7.34,0,0,0,0,8.56,0,0,0,0
 60-70,0,0,0,0,0.57,0,0,21.86,0,0.61,0.81,5.55,9.93,0,0,0,0,0,0,9.14,0,7.74,0,0.84,32.28,0,4.77,1.84,0,3.51,0,0,0,0,11.18,0,5.38,5.79,1.66
 72-82,0,0,0,0,1.16,0,0,15.28,0,0,1.86,4.1,42.83,0,0,1.28,0.52,0,0,1.13,0,14.53,0,0.82,33.68,0,6.6,0,0,3.65,0,0.73,0,0,9.75,0,4.07,0,17.75
 84-94,0,0,6.56,0,0.62,0.87,0,13.81,0,0,8.08,2.39,74.94,0,0,0.8,5.33,0,0,4.31,3.09,5.89,0,0,39.44,0,5.04,0,0,4.48,0,5.96,0,0,0,0,0.69,0,27.13
 96-106,0,0,4.63,0,1.62,10.51,0,9.88,0.9,7.62,2.81,19.21,269.25,0,0.8,1.92,2.86,1.92,1.3,21.24,0,11.07,4.96,0,118,0,6.93,0.59,0,8.09,0,0,0,0,2.46,5.51,0,9.13,14.3
108-118,0,0,3.03,0,6.13,0,3.04,26.12,0.98,0.58,3.57,5.33,566.47,0,0,2.97,4.95,0,0,14.03,0,37.97,2.05,0,106,0,8.96,0.85,0,6.56,0,1.81,0,0,1.68,0,3.65,0.97,21.79
120,0,0,0,0,6.99,0,0,26.68,0,0,0,10.91,346.55,0,0,1.65,6.89,0,0,35.49,0,9.3,0,0,111.49,0,3.75,6.75,0,0,0,1.21,0,0,0,6.78,0,17.09,6.62
