stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pgc,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,12.49,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,90.98,0,0,0,0,0,0,0,0,3.56,0,0,0,0,0,0,0,0,0,0,0,66.59,0,0,0,0,4.58,0,0,0,0,0,0,0,0,0
 10-12,0,0,11.87,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,33.09,0,0,0,13.18,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0.91,0.83,0,0,0,0,0,0,0,0.84,0,0,0,0,0,1.88,0,0,0,0,0,30.26,0,1.55,0,0.99,0,0,1.23,0,99.6,0,0,0,0,0
 24-34,0,1.94,0,4.64,0,1.4,0,4.32,0,1.25,0,0,2.24,0,0,0,0,1.6,0,4.57,0,0,0.71,447.01,0,0,0,2.38,0,1.04,4.04,0.67,220.19,0,0,0,0,0
 36-46,0,0,0,0,0,17.21,0,0,0,2.32,0,0,1.06,0,0,0,0,0,4.68,1.79,0,0,0,910.13,0,8.99,0,1.51,0,0,0,0,281.13,0,0,0,0,0
 48-58,0,0.42,0,4.69,0,132.93,0.38,0,1.44,24.13,0,0,0,0,0,6.72,0.44,0.65,0.91,17.63,0.53,0,1.59,1415.18,5.13,7.11,1.73,5.97,0,0,0,0,235.94,0,0,1.31,0,0
 60-70,0,0,0,5.37,0,491.85,0,0,1.54,31.62,0,0,0,1.48,0,0,0,0,0,23.13,0,0,2.33,2568.53,0,4.72,0.62,5.98,0,0,0,0,327.08,0,0,4.26,0,0
 72-82,0,0.81,0,28.03,1.11,1023.82,0,9.6,4.09,78.12,4.51,0,1.74,5.14,0,0,1.2,0.82,0,40.34,0,0.55,3.11,4137.29,0,4.26,9.1,5.37,0,0,0,0,251.8,0,2.14,3.55,0,9.88
 84-94,0,0,0,19.95,0.68,866.3,0,4.74,1.34,58.89,0,0,2.55,0.92,0.8,1.42,0,0,0,32.07,0,4.3,3.2,3189.91,0,0,21.52,7.79,0,1.97,0.63,0,139.36,0.66,1.91,0,2.27,10.04
 96-106,0,1.55,0,11.7,21.21,859.35,0,0,2.05,57.52,3.79,0,1.46,4.87,2.96,7.38,0,2.98,0,34.82,7.29,6.15,0,2843.91,0,5.57,12.57,13.9,0,0,0,0,95.4,0,0,6.05,1.33,7.72
108-118,0,1.11,0,20.08,1.22,864.35,0.59,1.64,0.74,56.37,3.48,0,0,0,9.46,1.9,1.43,0.75,0,50.12,0,6.16,6.92,3277.41,0,1.67,13.74,6.76,0,0.58,0,0,102.97,2.96,2.01,6.82,0,0
120,0,0,0,22.75,0,1108.55,2.29,4.2,0,119.91,0,0,0,4.51,1.01,2.22,2.05,3.79,11.42,53.9,0,0,8.57,5689.92,9.89,20.6,5.42,11.03,0,0,0,0,167.91,0,2.71,15.62,0,13.4
