stage,epidermis,exocrine_pancreas,eye,fin_mesenchyme,glial,gut,ionocyte,mesenchyme,neural,otic,spinal_cord,taste,xanthophores
 14-21,0,0,0.83,0,0,0,0,0,1,0.94,0,0,0
 24-34,0,0,0,0,1.17,0,0,0,2.51,0,0,0,0
 36-46,0,0,0,0,0,0,0,0,3.81,0,0,0,0
 48-58,0,0,0,0,0,0,0,0.37,13.84,0,1.93,0,0
 60-70,0,0,12.09,0,0,0,0,0.87,21.01,0,0.83,0,0
 72-82,0,0,9.36,0,0.88,0,0,1.57,26.11,0,1.67,6.19,0
 84-94,0,0,0,1.31,8.34,0,0,0,14.77,0,14.69,10.32,0
 96-106,0,0,0,0,2.71,0,0.98,0,15.78,0,0,30.6,8.85
108-118,1.06,0,11.5,0,0,0.44,0,0.46,18.69,0,0,37.07,0
120,0,2.35,8.65,0,13.24,2.43,0,0,42.42,0,0,10.7,0
