stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vasculature
  3-4,13.67,80.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,64.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.42,0,0,0,0,0,0,0,0,0,3.82,0,0,0,0,0,0,0,0,0,23.76,4.27,0,0,47.34,0,0,0,0,0,0
 10-12,0,3.83,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,39.6,0,0,0,16.38,0,0,0,0,0,0
 14-21,0,0,0,0,2.32,0.92,0.82,0,1.02,0,0,0,0,0,0,0,6.1,0,0,2.57,46.8,0.8,0,0,1.81,0.86,7.02,0,2.98,15.48,1.06
 24-34,0,0,0.75,1.23,5.5,0.61,26.95,0,2.52,0,0,1.13,0,0,0,2.84,18.26,0,0,5.69,274.65,0.65,3.21,3.18,0,6.9,0,0.93,1.53,75.14,7.49
 36-46,0,0,0,0,0,0,42.15,0,6.61,0,0,0,0,0,0,0,19.91,0.63,6.84,1.93,212.12,0,0,0,0,1.92,0,0,0,35.93,3.85
 48-58,0,0,0,0,4.88,3.92,60.12,1.55,8.29,0,0,0.55,0,0,0,0,10.43,0.52,0,2.96,162.61,0,0.39,1.24,0,2.32,0,0,0,23.35,0.43
 60-70,0,0,0,0,1.86,0,53.4,0,12.88,0,0,0,0,0,0.63,0,11.52,0,1.91,0.95,111.35,0,0,0,0,0,0,0,0,18.49,0
 72-82,0,0,0,0,2.24,6.39,27.64,1.08,2.24,0,0,0,0,0,0,0,3.83,0,0,0,42.67,0,0.79,0,0,0,0,0,0,3.52,3.19
 84-94,0,0,0,0,1.65,3.82,29.57,0,6.85,0.77,0,0,0,0.56,0,0,4.05,0,0,0,38.38,0,0,0.64,0,0,0,0,0,5.45,1.24
 96-106,0,0,0,0,1.98,2.04,21.18,0,1.67,0,0,0,0,0,0,0,7.89,0,3.16,2.62,24.1,0,1.96,1.22,0,10.64,0,0,0,5.47,0
108-118,0,0,0,0.74,1.17,8.17,30.5,0,3.6,0,0,0,1.22,0,0,0,14.04,0,0,0,29.72,0,0,2.34,0,1.45,0,0,0,0,0
120,0,0,0,0,4.67,0,22.56,0,2.18,0,0,0,0,0,0,0,12.34,0,0,2.31,49.81,0,0,0,0,0,0,0,0,0,1.59
