stage,blastomeres,endoderm,eye,glial,gut,lateral.line,liver,mesenchyme,mural.cell,muscle,neural,olfactory,otic,paraxial.mesoderm,periderm,spinal.cord
  5-6,15.81,0,0,0,0,0,0,0,0,0,0,0,0,0,7.18,0
  7-9,0,4.98,0,0,0,0,0,0,0,0,0,0,0,3.56,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,22.45,0,0,0,0,0
 14-21,0,0,0.84,0,0,0,0,1.17,0,0,0,0,0,0,0,0
 24-34,0,0,2.64,0,0,0,0,0,0,0,15.95,0,0,0,0,1.13
 36-46,0,0,1.51,0,0,0,0,0,0,0,9.32,0,0,0,0,0
 48-58,0,0,9.02,0.45,2.07,0.74,0,0,0,0,21.28,0.47,0,0,0,2.2
 60-70,0,0,10.95,0,0.61,0,0,0,0,0,23.28,1.78,0,0,0,0
 72-82,0,0,6.77,0,4.7,0,0,0.84,0,0,22.26,5.65,0,0,0,0
 84-94,0,0,19.05,0,5.83,0,1.49,0,0,0,11.78,3.03,0,0,0,0
 96-106,0,0,15.76,0,14.77,0,0,2.21,0,0,31.97,0,0.74,0,0,0
108-118,0,0,12.7,2.77,19.15,0,0.84,0,4.77,0,26.42,0.47,0,0,0,0
120,0,0,0,2.63,38.57,0,7.47,0,0,3.21,4.91,1.32,0,0,0,0
