stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,56.66,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.77,0,0,0,0,0,0,0,0,0
  5-6,8.35,90.68,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.56,0,0,0,0,17.14,0,0,0,0,0,0,0,0,0
  7-9,0,7.29,0,8.87,0,0,0,13.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,137.66,4.14,0,0,61.88,0,9.05,0,0,0,0,0,0,0,0,0
 10-12,0,9.53,0,5.49,0,0,0,28.13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,371.84,8.95,0,0,95.36,0,0,0,5.26,0,6.54,0,0,0,0,0
 14-21,0,0,0,0,11.16,0.92,0,10.08,0,0,0,2.9,0,0,0,1.17,0,0.92,0,0,4.04,0,0,6.24,85.82,0,0,0.86,0,0,0,13.32,0,1.74,15.75,35.5,0,4.17,0,0
 24-34,0,0,0,0.62,3.37,3.25,0,37.17,0,0.59,0,3.41,0,3.37,0,2.76,0,0,5.19,0.78,15.56,0,0,3.65,249.15,0,1.74,3.13,0,0,0,0,0,2.98,10.45,44.16,0,6.15,0,2.76
 36-46,0,0,0,0,8.98,0,0,69.36,3.8,0,0.62,8.15,0,0,0,0,0.94,2.16,0,5.33,16.29,0,0,5.96,301.19,0,0,1.33,0,0,2.1,0,4.5,0.67,0,37.93,0,0.69,0,0
 48-58,0,0,0,0,0,2.08,0,215.78,1.62,7.36,1.5,32.17,0,0,1.87,0.96,0.64,0.49,0,0,20.19,0,7.8,5.46,397.98,0,0,2.6,0,0.61,1.07,0,0.91,0.77,0,46.68,0,2.05,0,7.38
 60-70,0,0,0,0,10.65,1.33,0,265.34,1.84,0,0,26.89,3.6,0.77,0,0,1.15,0.77,0.68,5.94,23.2,0,0,4.23,266.76,0,0.84,0,0,0,4.49,0,0,1.39,0,25.26,1.72,0,0,6.76
 72-82,0,0,0.54,0,3.12,1.21,0,246.71,0,5.93,2.99,23.76,2.28,0.66,0,0.53,3.43,0.55,6.43,0,25.21,0,2.36,4.11,274.47,0,0,2.3,0,0.84,0.63,0,2,0,0,23.01,0.51,7.87,2.78,8.39
 84-94,0,0,2.45,0,6.04,0,0,132.09,0,0,0,32.62,2.12,0,6.73,0.99,5.73,0.81,0.96,0,19.52,0,1.98,1.47,180.04,0,0,5.13,0,0,2.94,0,1.47,0,0,14.78,0,0,1.47,5.88
 96-106,0,0,0,0,7.21,1.41,0,68.99,0.71,0.68,0.6,24.11,0,0,1.62,0.95,0,2.62,5.49,0,22.67,0,1.68,5.93,150.28,0,1.77,1.83,0,0,3.11,0,0.67,0,0,4.48,0,1.71,0.63,7.53
108-118,0,0,0.41,0,5.58,2.73,0.91,72.78,0,0.95,0,18.93,0.47,0,1.28,0.45,0,0.85,0.43,0,14.4,0.59,1.62,5.22,105.85,0,0,0.67,0,0,1.21,0,0.72,0.43,0,1.33,0,1.24,1.18,5.75
120,0,0,0,0,19.62,1.39,0,53.02,0,0,0,23.8,0,0,0,0,0,0,0,0,24.36,0,0,8.64,158.8,1.17,0,0,0,0,5.71,0,0,1.6,0,2.54,0,0,0,0
