stage,blastomeres,endocrine_pancreas,endoderm,epidermis,exocrine_pancreas,eye,fast_muscle,fin_epithelia,glial,gut,iridophores,lateral_line,liver,mesenchyme,mural_cell,muscle,neural,notochord,otic,paraxial_mesoderm,periderm,presomitic_mesoderm,pronephros,somites,spinal_cord,vasculature
  3-4,35.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,108.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.51,0,0,0,0,0
  7-9,0,0,10.71,0,0,3.42,0,0,0,0,0,0,0,0,0,0,43.25,0,0,18.11,0,0,0,0,0,0
 10-12,8.94,0,9.04,0,0,8.27,0,0,0,0,0,0,0,0,0,0,114.19,0,0,5.84,0,0,0,0,0,0
 14-21,0,0,0,2.88,0,2,0,0,0,0,0,0,0,5.23,0,0.9,26.12,2.35,1.81,2.04,0,9.6,0,3.65,7.2,1.05
 24-34,0,0,0,1.51,0,3.01,0,0,0,0,0,0,0,1.98,0.89,6.44,31.97,0,0,0,3.11,0,1.45,3.15,0.96,2.88
 36-46,0,0,0,0,0,0.85,0,0,11.74,0,0,0.61,0,0.93,0,0,31.32,0,0,0,9.59,0,0,0,5.62,1.09
 48-58,0,0,0,6.13,0,14.66,0.43,0,5.33,0,0,0,0,5.65,0,1.37,61.68,0,0,0,1.99,0,0,0,6.01,0.38
 60-70,0,0,0,1.81,0,44.14,0,1.25,0.64,0,1.41,0,0,0.62,0,0,77.79,0,0,0,18.94,0,0,0,6.81,0
 72-82,0,0,0,0,0,55.03,0,0,6.95,0,0.64,0,0,4.51,0,1.48,107.83,0,0.66,0,2.61,0,0,0,3.93,0
 84-94,0,0,0,0,0,7.23,0,0,15.59,0.67,0.63,1.43,0,0,1.14,0,66.82,0,0,0,4.99,0,0,0,0.99,0.97
 96-106,0,0,0,8.82,0,37.24,0,0,5.56,0,0,0,1.03,5.71,0,0,75.99,0,4.63,0,9.01,0,1.05,0,1.5,0
108-118,0,0,0,3.48,0.57,55.38,0,0,11.63,0.85,1.73,0,0,8.71,0,0,34.12,0,0,0,3.79,0,0,0,2.13,0
120,0,4.41,0,4.77,0,31.38,0,0,13.75,1.73,0,0,1.85,5.05,0,0,155.94,0,0,0,0,0,0,0,7.84,0
