stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,periderm,pronephros,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,0,1.22,2.41,0,0,2.14,0,0,0,0,0,0,0,0,0,0,0,0.82,0,0,0,6.99,0,0,0.81,4.05,0,2.01,0,0,0,0
 24-34,0,0,0,4.79,0,0,0.78,0,0,0.62,0,0,0,0,0,0,0,0,0,0,0,0,21.37,0,0,0,9.81,1.72,2.85,0,0,0,0
 36-46,0,0,0,17.22,0,0,11.72,0,0.58,1.63,2.17,0,0,0,8.43,0,0,9.57,1.52,0,0,0.75,54.77,0,0.73,2.77,27.72,0,2.55,0,0,0,0
 48-58,0,0,0,12.31,0,0,1.2,0,0,0.37,2.35,0,4.27,0,0,0,0,0,3.33,0.41,0,0.84,76.36,0.99,2.19,0,26.5,0,16.13,0,0,0,0
 60-70,0,0,0,10.74,0,0,9.53,0,0,0,11.88,0,0,0,0,0,0,0,2.46,1.14,0,0,161.36,0.75,4.87,4.04,20.12,0,20.48,0,0,0,0
 72-82,0,0,0,6.27,0,0,24.55,0,0,1,10.3,0,2.84,0.61,0,0.69,0,0,7.41,3.45,0.54,0,112.74,0,4.42,0,14.02,0,21.01,0.69,0,0,0
 84-94,0.62,0,0,11.52,0,0,4.68,0,0.62,0,15.44,0,1.35,0.77,0,0.59,0,0,10.89,0,0,0,103.17,2.88,1.91,0.79,73.85,0,14.05,0,0.58,0,0
 96-106,0,0,0,10.07,3.01,0,27.07,0,1.57,1.26,14.71,1.94,0.64,1.55,0,0.58,1.36,0,13.16,7.29,1.87,0,117.03,0,8.48,3.64,54.78,0.67,32.7,0.61,3.62,0,3.35
108-118,0,3.38,0,16.6,8.14,0.71,16.69,0.44,5.62,0,3.94,9.63,5.31,4.66,0,0,0.55,1.08,9.55,7.95,0,0,140.22,0,1.05,10.37,49.28,0,18.96,1.36,0,0.57,6.83
120,0,0,0,29.67,3.18,0,6.23,0,1,0,4.56,2.12,3.95,0,0,0,0,0,10.29,2.21,0,0,180.6,0,5.87,0,46.11,0,0,0,0,0,0
