stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,xanthophores
  3-4,40.05,569.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,28.87,551.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,23.61,0,10.31,0,0,20.41,0,0,0,0,25.62,0,0,0,0,0,0,0,0,0,0,284.43,3.34,0,0,98.83,0,0,0,0,0,0,0,0,0
 10-12,0,37.53,0,70.91,0,0,88.38,0,0,0,0,12.6,0,0,0,0,0,0,0,0,0,0,465.46,31.45,0,0,205.77,0,0,24.53,0,0,0,0,0,0
 14-21,0,0,0,0,7.73,2.89,1.41,0,0,4.38,0,0,0,0.81,0,0,0,0,5.02,0,0,10.97,30.43,0,0,2.87,3.62,0,8.83,0,2.75,14.24,0,0,0,0
 24-34,0,0,0,0,6.14,0,7.65,0,0.9,4.31,0.64,0,0,0.59,0,0,9.2,0.95,9.01,0,0,0.75,79.2,0.6,0,1.09,0,0.71,0,0,0.64,23.49,0,0,1.82,0
 36-46,0,0,0,0,0.71,0,7.38,0,0,5.38,0,0,0,0,0,0,4.85,0,11.53,0,0,1.78,83.06,0.6,0,0,0,8.11,0,0,0,16.3,0,0,0,4.86
 48-58,0,0,0,0,0.47,0,7.83,0,0.42,9.23,0,0,0,9.51,5.19,0,3.59,0,6.8,0.74,0,1.17,32.49,1.01,0,5.51,0,3.88,0,0,0,7.66,0,0,1.53,0
 60-70,0,0,0,0,1.54,0,36.72,0,0,12.61,3.58,0,0,0,0,0,0.72,0.73,16.54,0,2.73,0.6,42.91,0.98,0,1.38,0,0,0,0,0,14.41,0,1.06,0,0
 72-82,0,0,0,0,2.9,5.44,11.6,0,0,24.99,4.03,0,0.66,0.7,1.77,2.28,9.64,0,16.66,0.56,5.6,2.55,33.81,0,0.71,0.87,0,0,0,0,0,6.68,0,0.5,2.22,0
 84-94,0,0,0,0,2.37,3.85,22.67,2.83,0,12.65,10.23,0,0,0.75,0.55,0,1.95,3.81,18.81,0,0,0,19.19,0,0,6.05,0,0.77,0,1.99,0,5.33,0,0,0,0
 96-106,0,0,1.92,0,1.09,0,6.51,0.56,0,27.19,17.43,0,0.59,0.77,5.31,1.48,13.1,0,9.18,0,0,4.25,21.5,0,0,4.62,0,0,0,0,0,0,0,0,0,0
108-118,0,0,0,0,0.48,17.26,15.35,0,1.26,45.55,11.14,0,0.66,1.44,13.59,0,10.59,0.95,22.36,0,0,1.2,28.5,0,0,4.09,0,0.43,0,0.81,0,1.33,0.54,0,0,13.53
120,0,0,0,0,13.27,1.64,10.32,1.72,0,17.29,16.71,0,2.88,0,6.95,0,12.82,0,14.86,0,0,0,82.79,0,3.22,1.43,0,1.88,0,0,0,16.11,0,0,0,0
