stage,blastomeres,epidermis,erythrocytes,eye,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,lateral_line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,somites,spinal_cord,vasculature,visceral_smooth_muscle,xanthophores
  3-4,69.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.98,0,0,0,0,0
  5-6,84.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,4.94,0,0,0,0,0,0,33.83,0,0,0,7.05,0,0,0,0,0,0
 10-12,0,0,0,6.72,0,0,0,0,0,0,0,0,0,0,25.15,0,0,0,0,0,0,0,0,0,0
 14-21,0,0.8,0,0,0,0,0,0,0,0,0,0,0,2.27,3.37,0.83,0,0,1.12,0,1.07,4.11,0,0,0
 24-34,0,0.86,0,1.61,0,1.52,0,2.27,1.71,0.6,0.63,0,0,1.48,24.58,0,0,0,0,0,1.73,4.21,0,0,0
 36-46,0,0,0,1.41,0,0.63,2.87,0,0,0,0,5.17,2.77,0.9,17.95,0,0,0,0,0,0,4.24,0,0,2.66
 48-58,0,3.95,0,2.44,0,0.63,0.38,0,0,1.42,0,0,0,0,8.29,0,0,0,0,2.82,0,2.73,0,0,0
 60-70,0,0,0,2.31,0,5.46,0.84,0,0,9.22,0,0,1.57,0.75,3.06,0,1.15,0,0,0,0,1.33,0,0,0
 72-82,0,0,3.9,0,1.41,1.82,0.51,0,0,3.18,0,0,6.04,0,2.55,0,0,0.67,0,0,0,3.41,0,0,0
 84-94,0,0,0,2.06,0,0,0.98,0,0,2.94,0,0,1.03,0,19.39,0,0,0,0,0,0,1.41,0,0,0
 96-106,0,0.98,0,1.17,0,0,5.34,0,0,1.23,0,0,7.35,0,0,0,0.84,0,0,0,0,0,0,0,0
108-118,0,2.03,0,0.51,0,0,1.11,0,0,4.4,0.56,0.43,6.51,0,3.57,0,0,0,0,0.92,0,0,0,0,0
120,0,0,0,0,0,1.39,0,0,0,31.17,0,0,0,0,8.53,0,0,0,0,0,0,0,7.76,14.71,0
