stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pgc,pronephros,slow.muscle,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,0,17.02,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,6.38,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3.51,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.68,0,0,0,1.12,0,0,0,0,0,0,0,0,1.08,0,0,0,0,0
 24-34,0,0,0,0,0.84,2.26,0,2.67,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.65,7.95,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 36-46,0,0,0,0,0,0,0,37.59,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.11,12.89,0,0,0,0,0,0,0,0,2.99,0,0,0,0,0
 48-58,0,0,0,0,2.62,0,0,5093.62,0,0,0,1.76,0,0,0,0,0,0,0,6.39,0.99,3.14,0,0,0,70.22,0,0.57,0,0,2.73,0,0,0,19.43,0,0,0,0,3.06
 60-70,0,0,0,0,17.65,0.68,0,33801.46,1.98,0.99,5.67,34.45,3.39,0,0,5.52,0,0,0,0,0,53.32,0,8.11,3,327,10.7,1.62,0.63,0,19.56,0,0,0,21.58,0,0,10.79,0,19.82
 72-82,0,0,3.7,0,97.29,143.21,0,86731.04,7.3,5.03,16.63,509.22,12.95,16.72,9.51,34.97,1.8,11.36,22.61,17.42,5.46,508.49,2.09,19.51,32.31,1660.63,3.71,12.44,36.67,9.5,132.94,1.65,0,10.02,171.5,22.71,11.47,78.09,19.51,49
 84-94,0,0,14.85,1.01,317.9,102,0,125133.36,6.49,20.32,37.2,151.56,20.59,0,11.39,22.37,8.26,12.03,5.6,9.56,16.62,577,6.74,16.46,35.97,1192.13,5.16,22.35,4.69,17.28,196.18,0,9.12,0,150.91,4.54,44.78,71.87,14.74,17.56
 96-106,0,0,14.59,0,3055.41,367,24.4,175849.55,515.87,48.6,73.67,325.52,18.15,0,24.77,55.91,17.55,34.91,11.09,598.45,0,852.76,40.06,41.93,53.55,2540.12,8.46,34.44,26.37,34.37,653.24,0,2.79,15.85,89,14.25,17.61,152.23,22.07,51.13
108-118,7.9,0,12.36,0,200.21,231.74,31.99,182058.79,6.66,41.53,29.51,952.14,35.42,0,24.72,21.62,19.63,14.09,10.37,160.03,34.61,1589.18,46.36,42.61,75.39,3510.99,6.5,32.79,51.97,17.47,382.58,0,5.77,1.27,131.98,9.8,22.93,138.31,30.72,43.39
120,0,0,3.64,1.28,1274.92,279.33,17.11,258191.59,77.79,262.23,48.58,509.98,133.18,0,14.27,102.37,43.45,18.48,986.34,229.41,1.6,1274.12,21.27,131.8,490.08,5448.34,21.5,29.74,82.56,18.64,226.66,0,442.12,0,91.14,15.3,29.38,172.44,71.67,102.74
