stage,axial,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,207.92,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,63.4,0,0,0,0,0,0,0,0,0,0
  5-6,6.49,121.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.65,0,12.61,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,14.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,68,10.11,0,0,3.32,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,5.11,0,0,0,0,6.05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,94.58,21.02,0,0,19.97,0,0,0,0,18.23,0,0,0,0,0,0,0
 14-21,0,0,1.11,7.41,5.57,0,5.37,0,0,0,0,0,0.85,0,0,0,0,0,6.76,0,0,0,34.06,0.87,0,0.94,0,0,0,0,3.07,0,8.83,6.3,0,0,2.61,0,0
 24-34,0,0,0,0,0.76,0,5.97,0,0,0,0.66,0.67,0.67,0.64,0.66,0,0,0,9.93,0,0,2.07,55.39,0,0.64,0.69,0,0,1.89,0,0,1.75,1.73,13.16,0,0,47.3,0,0
 36-46,0,0,0,3.49,0.89,0,1.94,0,0,0,2.74,0,0,1.03,0,0,0.6,0,13.92,0,0,2.61,87.96,0,5.87,1.56,0,0,0.66,0,0,0,0,19.98,0,0,7.47,0,0
 48-58,0,0,0,16.98,0,0,12.74,0,0,0.54,1.25,0,0,2.4,0.61,0.54,0,2.15,20.35,0.49,0.39,1.16,78.63,4.37,0.41,0,0,0,0.83,0,0,1.07,0,15.38,0,0,4.34,0,3.6
 60-70,0,0,0,10.68,1.87,0,15.81,0,5.92,4.32,2.38,0,0,7.37,0,0,0.84,0,44.95,0,0,2.88,80.52,0,0,1.9,0,0,4.9,0,0,0,0,14.29,0,0,3.08,0,0
 72-82,0,0,0,2.69,4.44,0,23.02,0,0,0,10.69,0,0,2.95,0,0,1.65,0,26.6,0,2.34,3.29,80.35,0,3.67,1.32,0,0,7.4,0,0,0,0,4.15,0,0.75,11.89,0,5.59
 84-94,0,0,1.65,2.89,0.68,0,34.63,0,3.82,0.94,15.87,2.71,0,4.86,1.75,1.29,0,0.83,30.59,0,8.23,1.09,35.72,1.61,1.1,1.82,0,0,29.7,0,0,1.5,0,7.18,0.57,0,14.28,2.99,2.98
 96-106,0,0,2.26,8.37,4.16,0.97,39.5,0,0.96,0,13.41,5.3,0.88,10.93,3.77,0,1.7,3.07,30.73,5.3,3.49,0.59,60.82,0,1.74,4.69,0,0,64.41,0,0,0.61,0,3.41,0,1.5,4.62,0,2.27
108-118,0,0,0.52,9,7.53,0,10.65,0.64,0,0,10.48,4.14,1.81,10.93,0.83,0,1.1,0.98,46.26,2.98,3.85,3.38,69.93,0.45,1.57,0.53,0,0,41.48,0,0,0,0,3.1,0.52,0,15.69,1.04,8.51
120,0,0,0,25.84,0,0,23.71,1.1,0,1.52,35.75,2.58,0,28.74,3.32,0,0,2.58,74.97,0,0,3.26,79.23,3.77,1.12,2.56,0,6.29,60.57,2.5,0,0,0,1.53,0,0,36.89,5.91,0
