stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle
  3-4,0,9.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,7.81,22.48,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9.77,0,0,0,0,0,0,0
  7-9,14.46,0,0,0,0,0,0,0,0,0,0,0,0,0,15.14,0,0,0,5.85,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,11.69,0,0,0,0,0,0,0,288.19,5.29,0,0,32.56,0,0,0,10.48,0,0,0
 14-21,0,0,0,0,6.24,0,0,0,0,181.29,0,0,3.22,0.91,121.89,3.5,1.95,22.62,8.4,0,0,1.47,128.09,1.97,535.72,0
 24-34,0,0,0,0.59,2.42,0,1.19,0,1.62,137.54,1.91,0,9.96,0,73.93,0.75,9.08,3.29,0,0,0,0,56.03,0.66,213.06,0
 36-46,0,0,0,0,0.73,0,3.02,0,0,104.83,0,0,2.35,0,77.46,0,19.95,2.94,0,0,0,0,24.42,0,122.07,0
 48-58,0,0,0,0,0,0,5.12,0,0,98.2,1.4,0,1.1,0,39.91,0,23.54,8.74,0,0,0,0,7.4,0,156.27,0
 60-70,0,0,0,0,0,0,0.63,0,0,72.24,6.01,0,0,0,23.93,0,8.32,11.24,0,0,0,0,0.69,0,87.93,0
 72-82,0,0,0,0,0,0,5.79,0,0,62.5,3.02,0,1.61,0,14.79,0.53,18.33,12.73,0,0,0,0,0.57,0,35.71,0
 84-94,0,0,0,0,0,0,3.97,0,0,70.1,7.15,0,0,0,20.76,2.21,33.17,29.7,0,1.14,1.4,0,8.22,0,47.64,0
 96-106,0,0,1.11,0.64,0,3.08,5.52,0.58,0,59.03,12.87,0,4.91,1.42,1.38,0,48.58,24.35,0,0,0,0,2.98,0,54.61,1.22
108-118,0,0,0,0.51,0,0,4.3,0,0,46.4,9.46,0,0,0.51,3.08,0,24.43,19.58,0,0,0,0,1.96,0,25.76,0
120,0,0,0,0,2.51,0,0,0,0,18.38,5.02,3.16,0,0,22.91,0,1.32,17.08,0,0,0,0,6.91,0,18.74,0
