stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin_epithelia,fin_mesenchyme,glial,heart,ionocyte,iridophores,mesenchyme,mural_cell,muscle,neural,olfactory,otic,paraxial_mesoderm,pericytes,periderm,spinal_cord,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,0,61.08,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,127.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.41,0,0,0,0,0,0,0
  7-9,6.62,0,7.02,0,0,0,0,0,0,0,0,0,0,0,0,65.7,0,0,7.84,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11.58,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.84,0,1.1,0,0,0,0,0,0,0,0,0,26.84,0,0,0,0,0,1.94,0,0,0,0
 24-34,0,0,0,0.62,0,8.75,0,0,0,0,0,0,1.94,0,1.3,203.19,0,0,0,0,0.74,58.59,0,0,0,0
 36-46,0,0,0,1.28,0,10.35,0,0.75,16.42,0,0,0,6.38,2.6,0.76,437.44,1,0,0,0,15.08,79.59,0,3.88,0,0
 48-58,0.58,0,0,2.16,0,24.81,0,0,17.44,0,0,0,4.1,0.42,1.18,367.92,0,0.82,0,0,0,57.1,0.42,1.49,0,5.3
 60-70,0,0,0,0,0,42.7,0,0,17.6,10.66,0,0,21.56,11.89,1.4,198.27,0,0,0,2.51,6.14,19.32,5.52,2.26,0,0
 72-82,0,0,0,0.6,2.25,36.01,0,0,5.33,0,1.02,0,1.56,0,0.6,88.74,0,0,0,0,0,16.13,1.39,4.97,1.76,0
 84-94,0,0,0,1.26,0.84,28.17,0,0,3.74,0,0,4.06,2.69,1.71,0.93,66.5,0,0,0,0,0,0.87,0,4.29,0,0
 96-106,0,0,0,0.69,0,31.04,0,0,0,0,0,0,2.1,0,2.43,62.4,0,0,0,0,8.67,0,0.92,7.2,2.37,0
108-118,0,0,0,0.55,1.15,33.14,0.57,0,0,0,0,0,14.31,0,4.29,43.78,0,0,0,4.36,0,0,0,9.82,0,0
120,0,0,0,3.74,5.47,26.6,0,0,0,0,0,0,0,0,0,55.48,0,0,0,0,0,0,0,25.85,0,13.79
