stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,11.24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,9.22,0,0,0,0,0,0,0,0,0,0,23.45,0,0,0,4.89,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,5.34,0,0,0,4.11,0,0,0,0,0,7.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,16.7,1.06,0,1.1,0,0,0,0,0,0,0,0,0,0,0,0,0,18.95,0,33.11,12.57,1.85,0,0,1.09,0,0,0,0.95,0,2.89,7.53,0,0,1.08,0,0
 24-34,0,0.75,0,6.97,0,0,8.41,0,0,0.72,0,0,0,0,0,0,0,0.93,0,1.26,66.51,3.15,64.77,81.33,1.36,0,0,0,0,0,0,0,0,0.73,28.24,0,0,2.22,0,0
 36-46,0,0,0,4.14,0,0,129.69,0,10.22,10.9,2.46,0,0,1.87,0,0,0.56,0,0,10.17,73.88,0.74,37.69,224.02,1.72,1.96,0,0,0,3.1,0,0,0,0,32.82,0,0,2.7,0,2.28
 48-58,0,0,0,0.51,0,0,742,0,2.6,18.43,5.73,0,0,0.55,0,0,4.83,0,0,6.63,98.15,2.73,30.36,414.62,0.52,4.52,0,0,0.39,0,0.65,0,0,0,48.83,0,0,0.38,0,3.77
 60-70,0,0,0,3.06,0.72,0,2480.25,0,2.43,21.04,35.94,1.26,0,0,0,0,3.67,0,1.2,0,122.19,10.29,15.98,712.07,0,1.3,2.68,0,0,0,0,0,0,0,109.5,0,0,0,0,8.43
 72-82,0,1.3,0,10.46,0,0,1854.17,0,4.09,46.16,53.67,0,0,0,2.56,0,0.9,0,0,0,119.08,10.33,12.89,804.79,0.57,2.63,0.61,0,0,1.19,0,0,0,0,67.63,1.31,1.38,2.84,0.92,13.94
 84-94,0,0,0,9.07,1.3,0,1127.25,1.32,2.61,23.74,44.95,2.65,0,3.21,0,1.25,5.65,1.2,0,2.81,116.37,13.97,16.38,626.43,0,2.19,3.79,0,0,12.14,0,0,0,0,51.99,0,0,1.04,1.94,4.06
 96-106,0,0,0,3.13,6.29,0.98,1016.54,0.73,0.63,22.54,53.58,0,0,1.9,4.04,0,9.49,0,6.57,0.57,85.72,10.02,8.85,592.88,0,2.58,0.73,0,1.16,0.63,0,0,0,0,30.89,2.51,1.23,7.56,1.57,3.94
108-118,0,0,0.49,7.69,3.83,0,826.4,0.65,3.57,15.52,49.72,0,0,0,0,0,19.36,0,0,5.52,134.42,12.36,13.66,717.89,0.69,4.18,1.37,0,12.61,1.84,0,0,0,0,39.35,0.42,0,2.7,8.67,4.94
120,0,0,0,8.31,0,0,511.85,0,1.58,27.02,104.68,2.51,0,0,0,0,9.95,0,0,0,49.73,11.01,3.76,840.1,0,1.11,3.46,0,18.35,1.03,0,0,2.11,0,60.16,0,0,0,0,0
