stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.89,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,14.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19.58,0,0,0,4.31,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,3.16,0.82,0,2.14,0,0,0,4.2,0,49.8,0,0,0,0,0,0,73.7,0,0,32.76,298.73,0,0,0,0,0,0,0.88,0,169.37,37.3,37.14,0,0,0,0
 24-34,0,0,3.95,3.64,0,3.43,0.96,0,0,13.96,0,26.97,0.9,0,0,0,0,0,14.31,0,0.89,21.94,702.21,0.87,2.43,1.55,0,0,1.56,0,0,36.23,20.04,65.86,0,6.09,0,1.52
 36-46,0,0,1.3,0,0,30.14,4.25,2.79,0,54.19,0,6.54,0.73,0,0,0,0,3.95,14.17,0,0,8.3,2029.88,0,0,0,0,0,0,0,0,31.91,3.37,135.64,0,0,0,0.61
 48-58,0,0,1.36,0,0,64.41,0,0,0.94,164.36,0,11.25,0,0,0,0,0,1.28,14.6,0,0,8.69,3393.21,0.71,0.87,0.43,0,0,3.21,0,0,7.26,0,222.71,0,0,0,10.93
 60-70,0,1.55,0,0.57,0,136.32,17.45,0.68,0,289.27,0,1.62,1.92,0,0,0,9.86,2.57,17.51,0,1.04,5.71,4315.88,0,0,0,0,0,0,0,1.06,8.76,0,285.24,0,0.84,0,0
 72-82,0,0.64,13.31,5.69,0,262.47,22.75,0,0.93,447.45,0,0,0,0,0,0,4,0,26.01,0,1.54,9.17,3573.11,0,0,1.24,0,1.61,2.11,0,0,4.52,0,234.35,0.87,6.47,2.21,7.8
 84-94,0,0,21.23,15.88,0,256.67,14.75,0.63,2.12,345.37,0,4.34,0.65,0,9.96,0,0,0,22.58,0,0,10.45,2894.22,0,3.95,1.76,0,1.01,7.42,0,0,28.22,0,218.28,0,0,3.35,0
 96-106,0,0,14.44,6.11,0,139.61,16.63,0,1.21,408.08,0.97,1.35,0.66,0,7.73,0.92,0,0,40.44,1.17,0,6.12,2065.18,0.79,4.38,2.36,0,0.83,6.75,0,0,17.46,0,109.38,3.05,0,0,0
108-118,0,0,17.3,1.39,3.08,88.17,14.75,1,2.41,372.09,1.24,4.21,1.61,0.47,0.42,0,0,0,21.86,0,1.77,12.51,2682.24,0,1.52,4.3,0,2.98,1.51,0,0,13,0,74.82,0,3.07,1.42,0
120,0,0,9.19,0,0,98.12,33.67,0,0,345.39,0,3,0,0,0,0,1.54,0,29.33,0,9.27,5.67,2437.73,0,2.28,0,0,0,4.62,0,1.21,0,0,68.09,0,22.61,8.42,0
