stage,endocrine.pancreas,epidermis,exocrine.pancreas,eye,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,8.39,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,4.3,0,3.31,0,0,0,0,0,0,0,0,1.66,10.56,0,0,1.19,0,0.84,0,0,0,0,0,0
 24-34,0,0,0,4.89,0,0.64,0.67,0,0,0,2.05,0,0,59.64,0,0,0,0,0,0,17.27,0,3.38,0,0
 36-46,0,0,0,1.82,0,0,0,0,0,0.81,2.3,0,2.43,51.57,0.58,0,0,0,0,0,4.22,0,0,0,0
 48-58,0.87,2.36,0,11.05,0,2.8,0,0,0,0,6.65,0.95,1.12,35.22,0,0,0,0,0,0,4.15,0,0.59,0,0.6
 60-70,0,0,0,9.65,0,2.8,0,0,0,0,7.91,0,2.18,25.93,0,1.69,0,0.84,0,0.97,3.41,0.61,0,0,0
 72-82,0,0.7,0,16.72,0,0.82,0,0,0,0,5.49,0,1.1,38.67,0,0,0,3.23,0,0,0.85,0,1.89,0,0
 84-94,0,0,0,6.89,0,1.39,0,0,0,0,3.36,0,0,12.7,0,0,0,2.33,0,0,0,0,0,0,0
 96-106,1.37,0,0,0.98,0.63,0,0,0,0,0,0,0,0,10.02,0,0,0,0,0,0,0,0,0,0,0
108-118,0,0,1.94,5.71,0,0,0,0,0,0,10.41,0,0,5.36,0,0,0,4.3,0,0,0,0.5,0,0.5,0
120,0,0,0,10.05,0,0,0,3.03,1.11,0,3.62,0,0,0,0,0,0,0,0,0,2.39,0,0,0,0
