stage,axial,blastomeres,epidermis,exocrine_pancreas,eye,fin_epithelia,glial,hatching_gland,immune,lateral_line,melanocytes,mesenchyme,neural,notochord,olfactory,otic,slow_muscle,spinal_cord,taste,vasculature,xanthophores
  3-4,0,14.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,25.62,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,5.44,0,0,0,0,0,0,3.6,0,0,0,0,5.45,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,6.5,3.71,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,0,0,0,4.35,0,0,0,1.38,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,0,1.21,0.62,0,0,0,0.81,0,0,0
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,12.55,1.79,8.54,0,0,4.49,0,0,0
 48-58,0,0,0,0,0.91,0,0,0,0,0,0,0,10.81,0,4.7,0,0,5.58,0,0,0
 60-70,0,0,0,0,1.69,0,0,0,1.62,0,0,0,13.35,0,15.16,4.47,0,2.31,0,0.83,0
 72-82,0,0,0,0,0,0,0.51,0,0,0,3.71,1.03,19.88,0,28.1,48.51,0,11.35,0,0,0.5
 84-94,0,0,0,0,1.61,0,0.73,0,0,0,0,1.36,11.66,0,25.65,76.81,0.78,7.96,0,0,0
 96-106,0,0,5.61,0,5.38,0.65,0,0,2.48,0.97,0,2.56,33.55,2.29,15.85,89.96,0,8.06,0,0,0
108-118,0,0,1.19,0,1.28,0.42,0,0,0,0,0.55,0,11.15,0.9,7.67,154.17,0,3.24,0.58,0,0
120,0,0,1.18,1.8,0,0,0,0,0,0,0,0,14.09,3.31,9.65,87.03,0,0,0,0,0
