stage,epidermis,eye,immune,mesenchyme,neural,periderm,pronephros,spinal.cord,vasculature
 24-34,0,0,0,0.63,0.72,0,0.64,0,0
 36-46,0,0,0,0,1.09,0,0,0,0
 48-58,0,0,0,0,0.67,0,0,0,2.13
 60-70,0.6,2.53,0,0,1.43,0,1.86,0.61,0
 72-82,0,0.85,0,5,1.13,1.16,1.36,0,0
 84-94,1.63,0,0.61,0,0,1.13,21.22,0,0
 96-106,0,0,0,5.71,0,0,5.45,0,0.74
108-118,0,0,1.66,7.47,0,1.06,9.6,0,0
120,0,0,0,12.23,0,0,5.81,0,0
