stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,glial,mesenchyme,mural.cell,neural,olfactory,otic,paraxial.mesoderm,pronephros,somites,spinal.cord,xanthophores
  3-4,10.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.7,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,8.22,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,10.35,0,0,0,0.89,2.94,5.9,0
 24-34,0,0,0,0,0,0,0,0,72.14,0,0,0,0,0,16.62,0
 36-46,0,0.85,0,0,1.18,0,0,0,150.18,0,0,0,0,0,37.66,0
 48-58,0,0,0,0,1.84,0,0,0,169.95,0,0,0,0,0,28.05,0
 60-70,0,0,0,0,11.45,0,0,0,237.81,0,0,0,0,0,22.85,5.2
 72-82,0,0,2.18,0,3.43,0.52,0.51,0,266.33,0,0,0,0,0,15.66,0
 84-94,0,0,0,0,6.44,2.24,1.41,0,221.2,0,0.71,0,0,0,19.03,0
 96-106,0,0,0,0,12.87,3.74,0.64,1.02,165.12,1.03,1.39,0,0,0,11.74,0
108-118,0,0,0,2.14,2.75,3.99,0,0,137.16,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,202.61,6.87,2.84,0,0,0,18.57,0
