stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,108.69,1660.12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,95.7,0,0,0,0,0,0,0,0,0,0
  5-6,25.03,762.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,53.67,8.7,0,0,0,22.18,0,0,0,0,0,0,0,0,0,0
  7-9,8.89,7.31,11.01,0,0,3.32,0,0,0,0,28.54,0,0,0,0,0,0,0,0,204.51,5.45,0,0,72.98,0,21.23,0,0,0,0,0,0,0,0,0
 10-12,0,0,15.36,0,0,20.39,0,0,0,0,0,0,0,0,0,0,0,0,0,245.76,21.18,0,0,84.67,0,15.29,4.43,26.1,0,0,0,0,0,0,0
 14-21,0,0,0,105.85,6.03,8.68,3.51,0,3.36,0,0,0,42.05,0,0,5,25.9,0,16.91,149.65,4.03,0,4.17,0.8,0.86,3.75,9.59,4.02,13.99,23.45,0,0,0.93,0,10.82
 24-34,0,0,0,4.32,0,4.64,1.63,1.59,5.05,0.68,0,0,75.59,0,0,0,9.33,0,1.72,122.21,0,0.94,1.11,0,7.94,0,0,0,1.25,26.59,0,0,9.84,0,0
 36-46,0,0,0,0,0,17.53,0,5.06,3.48,0,0,0,61.59,0,14.78,0,10.22,0,5.3,59.39,0,0,0,0,34.55,0,0,0,0,11.42,0,0,3.22,0,3.44
 48-58,0,0,0,0.44,0,22.43,7.28,10.99,3.98,0,0,0,14.83,0,0,0,4.92,0,0.45,24.3,0,0,0,0,14.2,0,0,0,0,6.38,0,0,4.35,0,0
 60-70,0,0,0,0,0,23.47,0,29.65,8.86,0,0,0.76,24.18,0,0,0,7.75,0,1.89,11.14,0.68,0,0,0,3.6,0,0,0,0,0,0,0,1.04,0,0
 72-82,0,0,0,0,0,21.08,0,36.12,20.2,0,0.65,0,28.09,0.52,0,2.53,8.03,0,4.7,15.97,0,0,0,0,1.55,0,0,0,0,0,0,0.75,0,0,0
 84-94,0,0,0,1.12,0,11.81,4.53,16.26,7.92,0,0,0,37.8,0,1.64,1.57,17.51,0,1.75,6.39,0,0,0.66,0,5.6,0,0,0,0,0.98,0,0,0,0.98,0
 96-106,0,0,0,3.87,1.08,19.09,0,20.31,17.84,0.71,0,0,40.53,0,1.86,0.78,0.72,0.59,1.44,17.4,0,0,0,0,10.69,0,0,0.78,0,0.87,0.83,0,1.37,0,0
108-118,0,0,0,1.37,0.5,10.91,1.85,25.07,12.22,0.98,0,0,55.8,0.47,1.62,0.43,9.21,1.16,4.35,9.15,0,0.84,0,0,7.48,0,0,0.45,0,0,0,0,3.48,0.61,2.08
120,0,0,0,0,1.36,1.85,0,41.34,12.97,1,0,0,49.06,0,3.49,0,8.23,0,0,26.71,0,2.49,0,0,30.1,1.53,0,0,0,0,0,1.46,0,0,0
