stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,immune,ionocyte,mesenchyme,mural.cell,muscle,neural,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vasculature,xanthophores
  3-4,11.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.75,0,0,0,0,0,0,0,0,0,0,0,0,18.57,0,26.98,0,0,0,0,0,0,0,0
 10-12,0,12.59,0,0,10.97,0,0,0,0,0,0,0,0,49.85,0,7.95,0,0,7.65,0,0,0,0,0
 14-21,0,0,3,1.03,1.74,0,0.98,1.71,0,0,0.84,0,2.13,61.62,0,0,0,2.95,0,1.62,2.49,15.9,0,0
 24-34,0,0.67,0,0,8.27,0,1.43,0,0,0,7.59,0,4.77,172.43,0,0,2.53,0,0,0,1.57,68.4,0.77,0
 36-46,0,0,0,0,2.04,2.42,0.63,0,0,2.47,13.84,0,4.27,29.34,0,0,0,0,0,0,0,9.68,0,0
 48-58,0,0,0,0,1.38,0,1.1,0,0,0,1.18,1.23,1.1,10.08,0.44,0,0,0,0,0,0,3.49,0,0.82
 60-70,0,0,0.93,0,6.65,0,3.27,0,0,0,0.75,0,0.62,1.99,0,0,2.2,0,0,0,0,0,0,0
 72-82,0,0,0,0,9.2,0,0,0,0,0,2.41,0,0,4.68,0,0,0,0,0,0,0,0.93,0.65,0
 84-94,0,0,0,0,3.88,1,0.56,0,0,0,3.18,0,0,5.81,0,0,0,0,0,0,0,0,0,0
 96-106,0,0,0,0,1.39,0,2.77,0,1.01,0,0,0,2.25,0,0.73,0,0,0,0,0,0,0,0.89,0
108-118,0,0,0,0,0,0,1.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.48,0,0
120,0,0,0,0,0,0,14.01,0,0,0,0,0,0,5.64,0,0,0,0,0,0,0,0,0,0
