stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,lateral.line,liver,mesenchyme,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,18.85,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,12.37,0,0,0,0,0,0,0,21.16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,14.62,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,3.5,0,0,0,0,17.02,0,0,0,13.05,0,0,0,0,0,0,0
 14-21,0,1.23,10.29,0.83,0,0,0,0,4.99,0,0,0.87,1.44,8.86,0,0,0,0,0,2.21,0,3.4,0,0,0
 24-34,0,0,0,0,0.73,0,0.96,0,0.67,0,0,0.71,0,11.15,0,2.68,0,0,0.66,0,2.02,1.49,0,0,0
 36-46,0,0,0,0,2.87,0,0,0,0,0,2.68,0,0,14.48,0,1.36,0,0,0,0,0,9.04,0,0.82,0
 48-58,0,0,0,0,5.17,0,1.42,0,0,0,0,1.04,0,11.5,0,0.44,0,0,2.08,0.45,0,8.6,0,0,0
 60-70,0,0,0,0,3.15,0,0.85,0,0,0,0,1.23,0,7.52,0,0,0,0,0.59,0,0,3.62,0,0,0
 72-82,0,0,0.77,0,0.88,0.6,0,0,0,0.72,0,0.81,0,7.9,0,0,0.9,0,0,0,0,1.15,1.33,0.87,0.5
 84-94,0,0,0,0,5.3,0,0.61,0,0,0,0,0.7,0.59,0,0,3.16,0,0,2.2,0,0,0,0,0,0
 96-106,0,0,0,0,1.3,0,0,0,0,1.07,0,2.14,0,0,0,1.47,1.29,0,0.57,0,0,2.53,0.72,0,0
108-118,0,0,0.93,0,2.18,0,0.97,0.63,0,0,0,0,0,0.97,0,0.52,0,0,1.45,0,0,1.9,0.68,1,0
120,0,0,0,0,0,0,8.53,0,0,0,0,0,0,5.77,3.68,3.8,0,0,3.33,2.11,0,0,0,0,0
