stage,axial,endocrine.pancreas,endoderm,epidermis,erythrocytes,exocrine.pancreas,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
 14-21,0,2.48,10.88,146.39,38.2,0,50.05,0,3.14,0,21.02,18.9,0,2.3,0,4.92,0,0,0,2.7,76.01,0,0,52.59,718.21,12.52,8.39,4.79,14.61,0,11.2,10.11,148.21,9.95,6.33,142.29,251.41,0,0,2.58,0,0
 24-34,0,1.22,2.8,55.83,12.58,0,99.16,0,5.72,1.67,33.05,2.71,2.54,6.84,7.93,9.94,0.83,1.44,0,3.88,125.75,0,0.82,53.85,1193.73,3.86,15.86,12.4,0,0,40.51,0,0,3.57,0,27.99,274.09,0,0,38.77,0,4.71
 36-46,0,0,0.58,8.23,0.59,0,137.19,0,0.59,3.02,42.62,0.72,0,3.19,2.4,0.83,2.98,3.9,3.49,3.31,93.26,0,1.95,22.91,1183.69,4.85,18.31,14.01,0,0,35.63,0,0,1.93,0,0,306.2,0,0.62,17.61,0.78,7.14
 48-58,0.39,0,0,9.09,5.21,0,240.05,0,9.84,5.28,46.31,4.85,5.51,2.3,2.92,0,0.4,2.99,2.25,2.22,120.62,4.45,3.82,27.68,826.84,0.79,5.22,5.19,3.66,0.45,28.81,0,0,8.51,0.46,0,226.12,0,0.37,19.8,0.78,11.3
 60-70,0,0,0,15.52,2.25,2.15,422.88,0.66,1.36,8.85,41.9,6.2,2.2,4.08,20.71,0.71,5.9,3.93,3.22,11.71,160.06,0,12.92,19.17,740.35,1.42,3.08,7.71,0,1.22,29.44,0,0,0,3.07,0,159.8,0,2.7,23.41,4.15,13.06
 72-82,0,5.48,0.56,26.69,27.99,0,433.2,1.52,0,9.7,54.68,6.62,0,3.28,18.97,8.69,4.71,6.11,1.65,0,256.47,7.19,8.61,22.08,658.7,6.79,5.21,11.73,0,4.28,22.75,0,0,2,0,0,127.45,6.01,5.53,19.41,6.75,5.4
 84-94,0,5.07,0,43.85,39.3,0,283.74,0,5.73,3.96,40.55,5.71,4.36,2.9,14.65,4.75,2.1,4.29,1.44,4.73,233.26,2.33,9.51,28.58,432.37,1.4,19.53,12.49,0,0,70.85,0,0,4.57,0,0,89,3.76,0.75,31.04,5.84,24.04
 96-106,0,1.43,0,46.85,61.19,0,280.86,0.89,14.61,10.16,66.97,9.56,0,6.74,20.12,3.08,2.64,6.37,2.04,0.65,220.3,5.14,13.39,21.82,421.11,4.93,14.24,27.8,0,3.84,64.9,0,0,3.06,0.6,0,46.16,2.24,11.71,35.18,11.49,37.1
108-118,0,1.36,0.49,50.76,70.09,0,311.4,1.29,10.05,15.44,76.94,5.56,0,1.3,15.53,1.76,5.19,4.92,11.14,1.12,239.65,5.27,9.51,22.11,679.97,4.96,9.78,21.61,0,2.3,34,0,0,5.5,1.52,0,56.51,0.51,11.55,39.92,10.71,18.41
120,0,0,0,66.05,46.8,1.23,259.42,0,11.5,0,102.57,24.64,0,0,12.01,4.95,8.98,0,0,0,215.14,2.68,21.83,48.98,593.15,2.14,7.84,5.04,0,20.19,59.05,0,1.12,12.06,0,0,21.77,4.09,5.44,69.2,7.49,10.79
