stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,lateral.line,liver,melanocytes,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle
  3-4,9.76,312.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.39,0,0,0,0,0,0,0
  5-6,0,344.4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,14.02,0,0,24.78,0,0,0,0,0,0,0,0,0,0,0,0,0,141.99,8.99,0,0,63.92,0,0,0,0,0,0,0,0
 10-12,0,12.5,0,20.07,0,0,12.69,0,0,0,0,3.33,0,0,0,0,0,0,0,0,233.99,6.77,0,0,75.46,0,0,4.43,0,0,0,0,0
 14-21,0,0,0,0,0.83,2.08,3.71,0,0,0,0,0,0,0,0,0,0,0,0,0,22.88,0,0,0.81,0.93,0,3.97,0.9,5.04,2.8,0,0,0
 24-34,0,0,0,0,1.36,0,4.88,0.6,0,0,1.02,0,0,0.61,0,0,0.62,0.81,0,3.87,24.9,0,1.56,0.83,0,3.73,0,0,0,7.29,0,1.94,0
 36-46,0,0,0,0,2.5,0,4.27,0,0,0,0,0,0,0,0.68,0,0,15.29,3.65,1.83,24.83,0,1.82,1.39,0,10.95,0,0,0,2.25,0,8.54,0
 48-58,0,0,0,0,4.15,0,6.97,0.44,0,0,0,0,0,0,0,0,0.56,2.22,0.59,0,13.18,0,0.37,0,0,0.4,0,0,0,1.83,0,0,0
 60-70,0,0,0,0,5.35,0,22.84,0,0,3.84,0,0,0.6,0,1.57,1.34,0.59,4.42,0,0,13.37,0,0,7.28,0,3.92,0,0,0,0.61,0,0,0
 72-82,0,0,0,0,0,0,10.53,0,1.01,0,0.53,0,2.04,0,1.98,0,0,1.61,0,0,34.74,0,0,0.97,0,1.28,0,0,0,3.73,0,0,0.93
 84-94,0,0,1.2,0,1.34,0,11.35,0,0,0,0,0,0,1.86,0,0.6,0,1.88,0,0,20.38,0,0,0,0,3.6,0,0,0,2.27,0.55,0,0
 96-106,0,0,0,0,1.83,4.99,8.53,0,0,0,1.58,0,3.48,0,0,0,0,1.4,0,0,18.62,0,0,0.78,0,2.16,0,0,0,1.45,0,0,0
108-118,0,0,0,0,2.21,0,7.87,0,0,4.38,0,0,2.64,0,0,0,0,8.47,0,0,22.09,0,0,0.98,0,0,0,0.41,0,0,0.89,0,0
120,0,0,0,0,4.09,0,0,2.6,0,7.98,1.02,0,1.69,0,0,0,0,0,0,1.58,13.76,0,0,0,0,1.14,0,0,0,0,0,0,0
