stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,10.51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.99,0,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.18,0,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,115.15,0.86,0,70.36,0,1.51,0,0,0,0,0,0,0,0,56.85,0,0,11.38,21.26,0,0,15.5,0,0,0,0,1.32,0,0,0,0,0
 24-34,0,3.65,209.97,0.62,2.48,518.59,0,0,0,9.46,0,0.6,0,0,0,0,197.59,0.69,0,5.19,53.65,1.32,1.99,9.45,0,5.73,0,0.7,5.62,0,0,8.73,0,0
 36-46,0,0,61.95,1.17,4.53,450.54,9.91,0,0,2.86,0,3.14,0,0,0,0,134.29,0,0.6,3.82,73.3,14.58,0,1.99,0,0,0.62,0,7.45,0,0,4.89,0,0
 48-58,0,0,59.66,0,8.98,326.3,6.04,6.9,0,0.51,0,0,0,0,0,0,86.57,2.39,2.1,0.83,33.62,1.7,0,1.28,0,0,0,0,7.63,0,0,0.49,0,0
 60-70,0,0,32.28,0,15.04,261.11,11.54,8.01,0,23.54,0,2.28,0,0,0,2.64,238.36,0,3.61,0.88,38.98,0,0.83,0.91,2.46,0.59,0,0,0,0,3.11,0,0.71,0
 72-82,0,0,45.96,0,22.44,239.25,29.74,4.64,0,1.78,0,1.04,0,0.51,0,0,256.67,1.11,12.68,3.76,17.82,0,0,1.82,16.14,0,0,0,0.71,5.6,8.96,0.58,4.27,0
 84-94,0,0,102.62,0,22.37,307.27,19.5,14.13,0.93,3.1,0.7,5.98,0.62,0,0,0,180.16,2.84,22.84,4.19,17.25,0,1.34,1.83,1.31,0.75,0,0,0,1.87,7.39,0,2.65,0
 96-106,0,0,105.53,0,35.48,323.11,10.16,23.69,0.59,2.35,0.93,8.38,0,2.9,8.38,0,319.64,2.81,2.99,7.27,58.98,0,5.23,7.08,29.11,10.33,0,0,3.11,1.44,4.8,6.32,7.81,0.63
108-118,0,0,146.15,0.62,45.08,419.9,26.99,8.24,0.88,3.32,0,15.42,0,0,0,0,401.71,2.38,15.58,7.67,41.39,0,7.53,3.98,62.49,6.1,1.27,0,1.67,2.85,8.32,5.83,6.94,1.42
120,0,0,147.09,0,49.71,351.79,7,30.25,2.35,4.85,0,2.5,0,0,0,0,428.83,5.08,19.84,3.2,91.38,0,4.67,1.76,41.66,6.61,0,0,12.72,7.39,19.66,0,23.45,0
