stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,lateral.line,liver,melanocytes,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,9.76,80.23,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,141.52,0,0,0,0,0,0,0,0,0,8.74,0,0,0,0,0,0,0,0,0,0,10.2,0,0,0,22.18,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,19.16,0,0,5.25,0,0,0,0,11.64,0,0,0,0,0,0,0,0,0,0,66.26,11.17,0,0,58.8,0,7.62,0,0,0,0,0,0,0,0,0
 10-12,0,6.22,0,4.44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,104.4,0,0,0,50.68,0,0,0,0,0,5.88,0,0,0,0,0
 14-21,0.89,0,0,0.9,6.92,0.88,2.21,0,0,25.8,0,0,0,0,0,0,0,0,0,0,0,1.94,25.17,0.87,1.87,2.87,0,0,0,3.83,17.57,2.61,70.81,0,0,0,0,0
 24-34,0,0,0,0.61,8.11,0,0,0,0.67,14.61,1.8,0,0,2.18,0,0.64,0,0,6.63,0,0,0.6,40.6,0,21.65,3.27,0,2.72,0,0,12.96,5.18,45.41,0,0,0,0,0
 36-46,0,0,0,0,3.97,0,3.05,0,0,9.32,0.61,0,0,0,0,0,0.83,0,3.94,0,0.77,2.06,58.82,0,25.4,0,0,0.98,0,0,24.11,0,31.99,0,0,0,0.78,0
 48-58,0,0,0,0,4.75,0,4.87,0,0,12.87,0,0,0,0,0,0.4,1.08,0,4.97,0,0,0.64,50.73,0,13.84,0.63,0,0.77,0,0,3.87,0,50.06,0,0,0,0,0
 60-70,0,0,0,0,0.63,0,13.73,0,0.9,20.74,0,0,0,0,0,2.27,0,5.46,4.82,0,0,0,85.67,0,20.4,2.83,0,3.55,0,0,0,0,30.17,0,0,0,0,0
 72-82,0,0,4.38,0,3.19,0,14.65,0,0,53.55,5.53,0,0,0,0,7.01,0,0,4.05,0,0,0.56,63,0,23.82,5.91,0,1.1,0,0,0.73,0,19.49,0,0,0,0,0
 84-94,0,0,1.26,0,8.05,0,10.68,1.91,0.93,25.96,1.6,0,1.52,0,0.58,3.33,0,0,3.28,2.78,0,0,28.92,0,20.03,6.68,0,3.38,0,0,5.37,0,17.45,0,1.96,0,0,0
 96-106,0,0,4.79,0,5.55,3.94,13.83,0,0,37.49,4.97,0,1.18,3.01,0,2.26,3.07,0,12.81,0,3.71,1.82,42.27,0,33.11,17.06,0,4.47,0,0,0.58,0,22.76,0,0,0,0,0
108-118,0,0,1.5,0.77,10.31,0,20.03,0.93,0,34.68,0.61,0,0.52,2.68,0.65,0.65,0,0,14.19,0,0,2.44,46.9,0.56,22.15,13.45,0,1.22,0,0,0,0,9.66,0,0,1.19,0,3.32
120,0,0,0,0,3.18,0,3.55,0,0,5.72,11.07,0,0,1.63,0,0,0,0,0,0,0,1.74,60.4,0,6.85,4.25,0,0,0,0,2.12,0,21.48,8.23,0,0,0,0
