stage,endocrine.pancreas,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,immune,ionocyte,iridophores,mesenchyme,mucous,muscle,neural,notochord,olfactory,otic,periderm,spinal.cord,taste,vasculature
 14-21,0,1.87,0,2.34,0,0,0,0,0,0,0,0,0,2.64,4.44,0.81,0,0,0,3.34,0,0
 24-34,0,2.92,0,0.59,0,0,1.45,0,0,0,0,1.31,0,1.39,30.15,0,0,0,0.64,1.82,0,0
 36-46,0,1.68,0,2.27,0,0,0,0,0,0,0,2.82,0,0,30.85,0,0,0,1.51,0.99,0,0
 48-58,0,0,0,4.33,0,0,0,0,0,0,0,1.37,0,0.8,11.2,0,0,0,0,0,0,0
 60-70,0,1.44,0,48.17,0,0,0,0,0,0,0,1.98,0,0,2.58,0,0,0,0,0,0,0
 72-82,1.14,2.28,0.51,404.14,0,0,0,0.97,0.6,0,0,0,0,0,18.42,0,2.41,0,0,4.14,0,0
 84-94,0,2.68,0,587.08,0,0,0,0,0,0,0,2.09,0,0,9.55,0,0,0,0,3.82,0,0
 96-106,0,0,2.99,1235.72,1.69,1.43,7.01,4.63,0,0.56,0.66,8.3,1.26,1.02,17.68,0,0,0,2.61,0,0,2.97
108-118,0.93,0.93,6.65,1248.07,0,0,9.04,0.63,1.48,0,0,6.49,0,0.43,31.27,0,0,0.49,0,0,0.58,4.23
120,0,2.25,1.28,1373.26,0,0,0,0,0,0,0,7.44,0,0,37.19,0,0,0,3.7,0,0,0
