stage,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,glial,immune,iridophores,lateral_line,liver,melanocytes,mesenchyme,muscle,neural,olfactory,otic,paraxial_mesoderm,pronephros,spinal_cord,taste,vasculature
  3-4,17.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.07,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,3.25,0,0,4.79,0,0,0,0
 14-21,0,0,0,0,0,1.99,0,0,0,2.85,0,0,0,30.5,1.51,3.31,0,9.43,4.36,0,0.99
 24-34,0,0,0,0,1.54,1.24,6.93,0,0,0,0,0,0,8.55,11.8,1.92,0,16.81,10.32,0,7
 36-46,0,0,0,0,0,0,0,0,0,0,0,0,0,7.99,15,0.8,0,11.62,2.81,0,3.29
 48-58,0,0,0,0,0.57,1.19,6.54,0.63,0.4,0,0,0.53,0,6.45,15.44,2,0,2.03,2.55,0,0
 60-70,0,0,0,0,3.16,0,5.43,0,0,0,0,1.24,0.92,12.08,13.68,3.47,0,0,2.15,0,3.26
 72-82,0,1.09,0,0,2.86,0,3.27,0,0.95,2.72,0,1.56,0,11.26,15.83,5.98,0,1.1,1.87,0,3.42
 84-94,0,0,0,0,0.87,0.83,0.56,0,0.59,0.89,0,0,0,14.54,14.47,11.31,0,5.06,0,1.17,2.48
 96-106,0,0,0,0,1.37,5.06,0.7,0,4.16,0.95,0.65,1.58,0,8.19,32.04,12.53,0,1.93,6.58,0,6.57
108-118,0,0,0.67,1.65,0,0,2.56,0,3.11,6.28,0,0,0,12.44,33.52,23.04,0,4.07,0,0,7.08
120,0,0,1.72,0,0,0,1.25,0,1.74,6.03,0,2.5,0,3.27,48.61,25.86,0,8.31,0,0,0
