stage,axial,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,immune,ionocyte,iridophores,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,slow.muscle,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle
  3-4,29.12,207.72,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.14,0,0,0,0,0,0,0,0,0
  5-6,6.88,297.93,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16.14,0,0,0,0,17.16,0,0,0,0,0,0,0,0,0
  7-9,13.27,22.23,0,19.2,0,0,30.21,0,0,0,0,0,15.52,0,0,0,0,0,0,0,287.18,0,0,0,85.74,0,0,0,0,0,0,0,0,0,0
 10-12,0,15.69,0,25,0,7.16,3.99,0,0,0,0,0,3.16,0,0,0,0,0,0,0,435.02,12.87,0,0,135.26,0,0,0,29.85,0,0,0,0,0,0
 14-21,0,0,0,1.27,3.88,0,0,0,0,0,0.95,0,0,0,0,0,1.3,0,0,0,32.35,0,0,0,0.84,0,0,2.78,0,0,3.8,20.69,0,0,0
 24-34,0,0,0,0.67,1.42,0,8.39,0,0,0,3.01,0,0,0.62,1.13,0,6.33,0,0,1.74,98.17,0.71,0,0,0,3.77,0,0,0,0,0,16.65,0,0,0
 36-46,0,0,0,0,1.77,0,19,1.14,1.15,0,4.2,0,0,0,0,0,2.28,0,0,0,98.07,0,0,1.39,0,14.91,0,0,0,0.74,0,23.56,0,0.61,0
 48-58,0,0,0,0,3.98,0,31.43,0.86,0,0.56,5.24,0.64,0,0,12.9,0,11.23,0.5,0,0,94.81,0.38,1.35,0,0,4.91,0,0,0,0,0,19.59,0,2.66,0
 60-70,0,0,0,0,0,0,72.34,0,0,0,14.06,0,0,0,0,0,7.53,0,0,0,59.67,0,1.68,1.12,0,0.8,0,0,0,0,0,5.58,0,0,0
 72-82,0,0,0,0,0.5,0.72,37.87,0,0,0,4.53,3.29,0,0,0,0,4.36,0,0,0,31.46,0,0.63,0.54,0,3.04,1.65,0,0,0,0,6.11,0,0,0.69
 84-94,0,0,0.66,0,2.64,4.57,18.41,0,0,0,2.01,0,0,2.74,1.07,1.46,2.87,0,0,0.58,27.65,0,1.84,1.24,0,7.43,0,0,0,0,0,2.44,0,2.24,0
 96-106,0,0,0,0,1.13,0,24.58,0,0,0,3.49,0,0,0,0,0,3.69,0,1.29,0,25.82,0,0,0.73,0,3.65,0,0,0,0,0,3.23,1.03,0,0.81
108-118,0,0,0,0,1.76,0,24.56,0,0.72,0,8.67,0.66,0,0,0,0,6.99,1.3,1.88,1.4,23.11,0,0,0,0,5.41,0,0,0,0,0,0,0,1.05,0
120,0,0,0,0,15.11,0,16.16,1.04,1.68,0,2.64,0,0,1.01,0,0,4.82,0,0,1.15,71.59,0,0,0,0,2.97,0,0,0,0,0,0,0,9.8,0
