stage,immune,mesenchyme,neural,vascular_smooth_muscle,vasculature
 14-21,0,0,0,0,1.22
 72-82,0,0,2.71,0,0
 84-94,0.65,0,0,0,0.67
 96-106,0,0,1.15,7.62,0
108-118,0,1.05,0,0,0
