stage,blastomeres,epidermis,erythrocytes,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,iridophores,liver,mesenchyme,muscle,neural,notochord,otic,paraxial.mesoderm,pericytes,periderm,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  5-6,58.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,12.7,0,0,0,0,0,0,0,0,0,0,0,0,0,41.01,0,0,4.23,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,31.4,0,0,18.9,0,0,0,0,0,0,0,0,0,0
 14-21,0,2.93,1.25,6.94,0,0,0,1.51,0,0,0,0,0,0,0,0,1.54,27.19,0,0,0,0,0,2.02,0.94,11.87,11.22,0,0,0,0
 24-34,0,2.72,2.15,2.93,0.6,0,0,0.69,0,0,0,0,0,0,0,0,1.1,10.24,0,0.8,0,0,0.66,0,0,0,6.47,0,0,0,0
 36-46,0,0,0,0.68,0,1.3,0,0,0,0,0,0,0,0,0,8.29,0,17.46,10.64,0,0,2.1,2.92,0,0,0,5.06,0,0.73,0,0
 48-58,0,1.13,0,1.9,0,0.49,0.97,1.85,0.38,4.69,1.31,0,0,0,0,1.19,0,11.53,0,0,0,0,0.96,0,0,0,0.45,0,0,0,0
 60-70,0,0,0,10.99,0,0,0,1.54,0,0,0,0,0,0,0,7.77,0,14.76,1.38,0,0,0,1.29,0,0,0,3.98,1.77,0,1.13,0
 72-82,0,0,0,12.7,0,0,0,1.73,0,0,0,0,0,0,0,5.1,0,9.08,0,0,0,0,0.51,0,0,0,0,0,1.13,0,9.26
 84-94,0,0.57,0.64,0,0,0,1.74,0.81,0,0,0,0,0,0,0,4.34,0,5.28,0,0,0,0,0.82,0,0,0,0,0,0,0,0
 96-106,0,0,0,0.61,0,0,0,1.22,0,0,0,0,0.86,3.6,0,2.84,0,12.92,0,0,0,0,0.68,0,0.78,0,0,0,0,0,0
108-118,0,4.97,0.51,3.01,0,0.71,1.1,1.14,0,0,0,0.95,0,0,0.42,14.86,0,12.7,0,0,0,0,2.33,0,0,0,0,0,0.83,0,0
120,0,0,0,8.36,0,12.64,0,0,0,0,0,0,1.76,0,0,10.81,0,43.9,0,0,0,0,1.14,0,0,0,0,0,0,4.27,0
