stage,blastomeres,endocrine.pancreas,endoderm,epidermis,erythrocytes,eye,fast.muscle,fin.mesenchyme,glial,gut,heart,lateral.line,melanocytes,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,pericytes,periderm,pronephros,somites,spinal.cord,taste,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,12.26,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,63.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,6.4,0,0,0,0,0,0,0,0,0,0,0,0,0,16.51,0,0,0,3.67,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,8.15,0,0,0,0,0,0,0,0,0,0,0,0,0,8.78,0,0,0,3.93,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,1.03,0,0,0,0,0,0,0,0,0,2.2,0,0,3.49,0,0,0,0,0,1.96,0.98,0.94,1.31,0,0,0,0,0
 24-34,0,0,0.6,1.39,0,7.77,0,0.79,5.79,0,0,0,0,0,0,4.86,298.24,0,0.96,4.58,0,0,15.94,0.73,0,18.78,0,0,0,0,0
 36-46,0,0,0,1.29,0,29.04,0,0,138.1,0,0.75,0,0,23.01,0,5.74,759.99,0,3.75,4.68,0,0,28.24,16.25,0,223.9,0,0,0,0,0
 48-58,0,0,0,5.59,0,60.36,0,0,356.98,0,0.49,0.95,0,66.58,0.4,3.31,581.78,0,1.21,18.5,0,0,8.7,0,0,314.32,0,0,1.18,0,0
 60-70,0,0,0,0,0,91.02,0,0,296.56,0,0.79,0,0,78.2,0,2.82,139.53,0,1.17,24.79,0,4.09,5.03,0.6,0,129.16,0,0,0.63,2.04,8.53
 72-82,0,0,0,2.05,3.69,32.42,0,1.93,204.08,0.81,0,0,0,122.25,2.02,4.45,128.36,0,5.18,23.31,0,7.93,3.07,0,0,36.97,0,2.34,0,0,0
 84-94,0,0,0,2.9,0,72,0,0,109.11,0,0,0,5.72,82.13,5.88,2.39,65.23,2.32,0,26.86,0,0,0.78,0,0,20.96,1.14,1.95,2.66,0,0
 96-106,0,2.24,0,0.73,0,33.38,0,4.92,95.98,0,0,0,0,109.88,0,4.38,53.6,0,2.97,51.21,0,4.6,0,0,0,4.63,0,0,0,2.23,0
108-118,0,0,0,1.46,3.04,56.8,0,0.87,89.78,0,0,0,0.54,99.93,0,6.49,55.54,0,0,45.51,0,20.62,0.44,0,0,3.29,0.51,0,0,0,0
120,0,0,0,12.02,0,39.96,1.66,0,238.07,0,0,3.2,0,151.63,3.51,19.8,78.91,2.11,0,47.69,0,19.8,0,0,0,11.49,0,2.68,0,0,0
