stage,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,mesenchyme,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,presomitic.mesoderm,somites,spinal.cord,vasculature,visceral.smooth.muscle,xanthophores
  3-4,174.53,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,296.81,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,4.47,0,0,0,4.33,0,0,0,0,0,0,91.99,12.45,0,0,12.6,0,0,0,0,0,0,0
 10-12,0,0,0,0,16.8,0,0,0,0,0,0,51.18,0,0,0,3.66,0,0,0,0,0,0,0
 14-21,0,1.03,1.62,0.85,1.91,0,0,0,1.83,0,0,36.5,0,0,0,1.02,0,4.72,4.85,11.35,0,0,0
 24-34,0,0,0.72,0,1.4,0,0,0,0.84,0,3.58,34.58,0,0,0,0,0,0,0,7.69,0,0,0
 36-46,0,0,1.51,0,5.47,0,5.67,0,4.14,0,1.21,30.15,0,1.02,0,0,0,0,0,7.96,0.91,0,0.67
 48-58,0,0,0.38,0,10.29,0,5.64,0.97,5.49,0.42,0,26.42,0,0,0,0,0,0,0,5.35,1.69,0,0
 60-70,0,0,2.54,0,12.15,0,4.28,0,0.83,0,0,24.14,0,0,0,0,0.68,0,0,5.31,0,0,0
 72-82,0,0,0,0,9.91,0,3.29,0,9.73,0,0,11.09,0,0,0,0,2.84,0,0,3.72,0,0,0
 84-94,0,0,1.14,0,6.31,0,0,0,8.94,0,0,7.89,0,0,1.56,0,0,0,0,1.61,0,0,0
 96-106,0,0,0.61,0,0.58,0,0,0.6,0,0,0,4.32,0,0,0,0,0,0,0,0,0,1.12,9.25
108-118,0,0,0,0,7.31,0,0,0,6.99,0,0.95,10.52,0,0.41,0,0,0,0,0,0,0,0,0
120,0,0,0,0,6.31,2.35,0,0,0,0,0,19.23,0,0,0,0,0,0,0,0,1.32,0,0
