stage,axial,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,pericytes,periderm,pgc,pronephros,somites,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle,xanthophores
  3-4,130.23,4322.57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,136.76,0,0,0,0,0,0,0,0,0
  5-6,211.73,2914.53,0,0,0,0,0,0,0,0,0,0,25.98,0,0,0,0,0,0,0,0,0,0,0,70.66,17.75,0,0,37.49,0,38.85,0,0,0,0,0,0,0,0,0
  7-9,47.98,19.92,0,11.89,0,0,0,54.74,0,0,0,0,10.01,0,0,0,0,0,0,0,0,0,0,0,468.71,42.23,0,0,121.23,0,13.53,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,3.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,112.15,31.76,0,0,15.75,0,3.81,6.56,43.4,0,0,0,0,0,0,0
 14-21,0,0,6.13,2.52,10.76,1.24,0,3.36,0.87,0,0,1,1.91,0,0,18.04,0,0,0,0,5.18,1.09,0,3.14,58,7.95,18.75,2.08,1.21,0,7.49,0,0,0.93,23.55,0,0,3.97,0,0
 24-34,0,0,2.02,0,7.98,12.09,0,20.8,3.15,0,1.36,1.36,0,0.76,0.6,25.91,0.77,4.89,0,0,20.59,4.84,0,0.94,294.11,1.47,130.21,13.28,0,0,170.42,0,0,0,48.05,0,0,2.9,0,31.75
 36-46,0,0,0.98,0,3.03,64.87,0,62.18,0,1.83,3.48,0,0,3.15,0.73,11.22,0,3.55,7.21,11.94,30.55,0,0,2.15,540.74,1.58,124.28,7.96,0,0,321.81,0,0,0,46.65,0,0,3.31,0,233.92
 48-58,0,0,1.39,0,5.87,2.01,0,142.59,2.57,6.88,6.56,2.81,0,0,0,6.99,3.68,13.3,2.12,7.88,25.7,12.14,1.47,7.47,469.15,0,59.73,10.18,0,0.45,325.74,0,0,0,73.56,0,0,4.79,0,391.1
 60-70,0,0,2.44,1.19,23.31,0.96,0,139.09,9.57,0.93,5.17,26.56,0,0,0,12.84,6.42,51.5,0,0,16.71,3.32,1.27,0.71,304.83,0,55.32,17.14,0,0,189.82,0,0,0,33.32,6.32,0,1.47,0,215.6
 72-82,0,0,21.4,0.75,34.88,1.92,0,116.61,0,37.7,5.02,87.94,0,1.65,0.69,11.02,0,64.46,5,2.67,17.57,2.66,0.76,2.41,292.8,0,131.35,22.36,0,2.75,104.64,0,1.4,0,11.82,46.12,0.5,3.41,0.91,72.15
 84-94,0,0,9.93,5.45,70.52,5.07,0,76.99,5.13,21.27,9.89,167.22,0,0,6.8,26.14,2.3,91.85,10.18,4.33,25.26,0.65,1.42,6.33,221.34,0,115.85,17.69,0,0.79,256.18,0,1.55,0,4.57,99.36,1.95,0,0,53.33
 96-106,0,0,19.34,0.81,51.33,6.66,0,41.66,0,25.84,22.37,257.25,0,2.49,1.22,14.46,1.37,153.39,1.47,1.74,23.29,2.12,0,2.93,158.98,0,240.61,11.53,0,1.87,88.86,0,0,0,4.72,93.03,1.08,5.82,3.84,15.41
108-118,0,0,11.78,2.32,66.29,0,1.57,46.62,1.58,21.17,8.26,201.06,0,1.32,1.88,12.56,10.3,99.25,5.92,4.6,28.76,6.36,0.99,2.65,175.1,0,148.5,13.12,0,0,45.08,0,3.74,0,4.89,73.35,0,1.62,0,18.05
120,0,0,17.99,0,24.38,0,0,41.81,0,15.41,19.4,94.54,0,0,9.77,11.61,10.01,88.6,0,3.24,34.27,5.03,0,0,91.87,0,150.68,15.41,0,0,17.73,0,1.94,0,0,27.84,0,0,0,3.15
