stage,axial,blastomeres,endocrine_pancreas,epidermis,erythrocytes,eye,fast_muscle,fin_epithelia,fin_mesenchyme,glial,gut,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,paraxial_mesoderm,periderm,pgc,pronephros,spinal_cord,taste,vascular_smooth_muscle,vasculature,xanthophores
  3-4,9.79,73.22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,0,145.63,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,3.82,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15.01,6.28,0,0,3.68,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18.26,0,0,0,0,0,0,0,0,0,0,0,0
 14-21,0,0,5.48,3.8,0,6.13,0,0,0,3.22,0,0,0,0,0,0,0,0,2.27,0,0,0.86,267.04,0,5.27,5.41,0,1.52,0,0,109.18,0,0,0,0
 24-34,0,0,9.35,5.32,0,15.79,0,0,0,21.06,0,0,0,0,0,0,0,0,1.91,0,0,0.93,1324.16,0,16.33,9.77,0,3.61,0,0,186.72,0,0,2.81,0
 36-46,0,0,3.67,6.32,0,15.42,0,0.68,0,61.92,0,2.97,0.73,0,0,0,0,13.09,20.46,0,0,0.75,2162.99,0,16.44,8.22,0,11.02,0,0,224.38,0,0,0,10.8
 48-58,0,0,0.79,6.46,0,103.48,0,0,0,93.13,0,0,0.68,0,0,0.56,0,0,26.08,0,0,1.34,2195.7,0.71,12.54,8.51,0,3.93,0,0,206.78,0,0.89,0,0
 60-70,0,0,2.5,3.34,0,156.59,1.38,0,0,170.03,0,0,0,0,6.73,0,0,0,44.63,7.17,9.41,1.47,2719.65,0,11.44,8.52,0,1.12,0,0,202.27,0,0,9.46,17.55
 72-82,0,0,1.54,3.74,5.02,170.73,0,2.85,3.99,134.72,0.7,1.07,0,0.75,0,0.51,0,0,56.65,0,0,1.42,2121.51,0,15.39,15.67,0,0,0,0,116.67,1.01,0,3.98,0
 84-94,0,0,0.7,11.45,2.51,186.73,6.5,0,0,158.78,2.85,0,0,0,0.67,2.3,0,14.26,50.83,0,0,1.09,1352.73,0,6.38,15.41,0,9.19,0,0,80.89,5.36,0,14.12,0
 96-106,0,0,5.71,7.42,6.41,166.76,0,0.62,1.24,138.56,1.35,0,0,0.76,0,0.67,15.72,0,44.74,0,0,0,1086.7,0,16.56,14.6,0,9.51,1.35,0.73,35.98,5.3,0,0,5.48
108-118,0,0,0.91,4.57,1.76,134.49,0,0,0.5,121.26,0.43,0,0.97,0,1.01,0.44,0,0,30.05,0,1.08,1.64,1271.93,0,13.42,8.75,0,5.25,0,2.39,32.41,2.4,0,3.5,0
120,0,0,0,15.41,0,194.84,0,0,0,260.26,0,0,15.49,0,0,0,0,0,66.29,0,0,2.32,2060.04,0,18.19,1.1,0,3.96,0,0,64.8,1.19,0,0,19.46
