stage,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,iridophores,lateral.line,melanocytes,mesenchyme,mural.cell,neural,periderm,pronephros,spinal.cord,vasculature,xanthophores
 14-21,0.84,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
 24-34,0,0,0,0,0,0,0,0,0,0,0,84.82,0,0,0,0,0
 36-46,0,0,0.72,0,0,0,0,0,0,1.89,0,1045.6,0.83,0,3.01,0,0
 48-58,1.25,0,8.11,0,0.42,0,0,0,0,1.64,0,1038.01,3.3,0,2.51,0,2.44
 60-70,6.6,0,10.6,0,2.02,0,0,0,0,5.27,0,667.23,0,0,1.69,0,0
 72-82,1.32,1.34,29.23,0.56,2.85,0,0,0,3.96,12.44,0,1327.9,0,0,2.97,0.63,0
 84-94,0.66,0,62.02,0,5.34,0,3.32,0,0,10.16,0,957.39,0,0,0,0,0
 96-106,4.89,2.12,10.45,0,40.54,1.66,0,0.75,0,9.11,0,1235.84,0.8,0.61,23.08,2.1,0
108-118,12.02,1.95,23.87,1.7,44.86,0.64,11.56,0,0,17.75,0,1513.86,8.01,0,0,0,0
120,0,0,65.38,0,13.11,3.16,0,0,0,0,4.29,1629.89,0,0,0,0,0
