stage,blastomeres,epidermis,eye,immune,neural,notochord,paraxial.mesoderm,pronephros
  3-4,10.77,0,0,0,0,0,0,0
  5-6,31.76,0,0,0,0,0,0,0
  7-9,4.3,0,0,0,12.01,0,0,0
 10-12,5.43,0,0,0,40.02,17,5.4,8.76
 48-58,0,0,0.53,0.42,1.03,0,0,0
 60-70,0,0,0,1.58,0,0,0,0
 72-82,0,0,0,1.88,0,0,0,0
 84-94,0,0,0,3.6,1.24,0,0,0
 96-106,0,0,0,3.81,0.69,0,0,0
108-118,0,0,0,15.09,0.73,0,0,0
120,0,5.97,0,10.26,0,0,0,0
