stage,axial,blastomeres,endoderm,epidermis,erythrocytes,eye,fin.mesenchyme,glial,gut,hatching.gland,heart,immune,ionocyte,lateral.line,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,paraxial.mesoderm,periderm,pgc,presomitic.mesoderm,pronephros,somites,spinal.cord,vascular.smooth.muscle,vasculature,visceral.smooth.muscle,xanthophores
  3-4,0,403.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,24.39,0,0,0,0,0,0,0,0,0
  5-6,7.99,632.75,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,43.91,0,0,0,0,10.17,0,0,0,0,0,0,0,0,0
  7-9,14.6,33.92,42.45,0,0,72.25,0,0,0,24.86,0,0,0,0,0,0,0,0,428.1,17.98,0,0,135.51,0,8.66,0,0,0,0,0,0,0,0
 10-12,0,10.53,61.68,0,8.31,45.76,0,0,0,0,0,0,0,0,0,0,0,0,507.36,12.5,0,0,185.08,0,12.41,0,25.85,0,0,0,0,0,0
 14-21,0,0,0.92,22.36,6.6,15.66,0,25.77,0,0,0,0,2.53,0,17.75,0,0,8.71,247.36,0.84,1.23,8.49,6.9,2.29,0.9,34.62,6.67,11.47,118.39,0,2.68,0,0
 24-34,0,0,0.81,2.03,2.7,37.07,0,7.4,1.19,0,0,0,0.7,0,30.92,0,0,6.1,293.81,0,2.45,1.81,0,2.42,0,0,0.85,1.13,66.26,0,5.04,0,0
 36-46,0,0,0,3.44,0,80.64,0.63,1.86,0,0,0,0,0,0,12.88,0,0.71,3.29,142.12,0,0.99,0,0,7.59,0,0,0.62,0,38.18,0,1.27,0,1.52
 48-58,0,0,0,4.3,0,65.22,0,3.5,0,0,0,0,0,0,16.1,1.73,3.49,1.39,46.47,1.03,1.81,0,0,0.62,0,0,0,0,7.13,0,3.8,0,0
 60-70,0,0,0,6.48,0,45.61,0,2.39,0,0,0,0,0,1.12,4.92,0,0.7,0.68,17.85,0,1.43,0,0,0,0,0,0,0,1.22,0,0,0,0
 72-82,0,0,0,3.44,0,17.93,0,10.4,0,0,0,0,0,0,9.08,0,0,0.9,20.2,0,0.81,0.5,0,2.52,0,0,0.57,0,2.96,0,0.77,0,1.89
 84-94,0,0,0,0.83,0.65,24.29,0,4.38,0,0,0.8,0.55,1,0,19.52,0,0,1.81,21.71,0,1.77,0,0,1.23,0,0,0,0,0,2.14,0.67,0,0
 96-106,0,0,0,1.45,0,12.37,0,3.22,0,0,0,0,0,1.19,6.09,0,0,2.24,7.54,1.43,0,1.76,0,0.71,0,0,0,0,0,0,0,3.42,10.7
108-118,0,0,0,5.84,0,24,0,7.85,0,0,0,1.07,0.45,0,12.01,0,0,0.44,26.14,0,1.34,0.86,0,3.61,0,0,1.41,0,3.67,0.96,0.42,0,1.16
120,0,0,0,5.92,1.76,3.91,0,51.2,0,0,0,0,0,1.74,8.27,0,0,0,31.1,0,0,0,0,0,0,0,0,0,0,0,1.46,0,0
