stage,blastomeres,eye,fin.mesenchyme,glial,mesenchyme,mucous,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,vasculature
  3-4,12.96,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,32.56,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,3.92,0,3.87,0,0
 14-21,0,0,0,0,0,0,0,0,4.64,0,0,1.15,0
 24-34,0,0.7,0,0,0,0,0,0,5.1,0,0,0,0.84
 36-46,0,0,0,0,1.76,0,0,0,10.99,0,0,0,0
 48-58,0,5.18,0,0,3.02,0.53,0,5.53,6.01,0,0,0.53,0
 60-70,0,3.28,0,0.86,12.71,0,0,0,9.05,0,0,0,0
 72-82,0,0.9,0.92,0.89,10.77,0,0.75,0,3.21,0,0,2.12,0
 84-94,0,0,0,0,21.87,0,0,0,4.1,0,0,0,0
 96-106,0,7.44,0,0,8.26,0,0,0,5.06,0.6,0,0,0.6
108-118,0,0.62,1.94,1.31,11.93,0,0,0,0,0,0,0,0
120,0,0,0,0,0,0,0,0,9.61,0,0,9.81,0
