stage,blastomeres,eye,glial,neural,paraxial.mesoderm,spinal.cord
  7-9,5.25,0,0,0,10.26,0
 10-12,0,0,0,5.15,0,0
 24-34,0,0,0,0.75,0,0.64
 36-46,0,0,0,2.57,0,0
 48-58,0,0,0,0.6,0,0
 72-82,0,0.65,0,1.2,0,1.38
 84-94,0,0,1.95,0,0,0
120,0,4.34,0,0,0,0
