stage,epidermis,eye,fast.muscle,fin.epithelia,fin.mesenchyme,glial,gut,ionocyte,iridophores,lateral.line,liver,mesenchyme,mucous,mural.cell,muscle,neural,notochord,olfactory,otic,pericytes,presomitic.mesoderm,slow.muscle,somites,spinal.cord,taste,vasculature
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8.4,0,0,0,0,0,0,0,0,0
 14-21,0.81,0,0,0.87,0,0,0,1.18,0,0,0,1.14,0,0,1.66,0,14.09,0,0,0,2.83,1.53,9.65,5.67,0,0
 24-34,17.45,0,0,2.5,0.72,7.04,0,6.18,0,1.37,0,1.03,0,0,1.8,1.81,8.89,2.25,5.91,0,0,0,2.13,11.43,0,0
 36-46,18.12,0,0,5.6,0,2.61,0,0,0,2.16,0,0,0,0,0,41.98,8.92,2.74,2.65,0,0,0,0,2.93,0,0
 48-58,30.54,0.49,0,8.21,4.37,3.24,0,0,6.38,3.05,0,5.63,0,4.04,0,27.46,5.12,0,11.89,0,0,0,0,10.28,0,0
 60-70,35.37,0,0,11.04,0,3.01,0,0,0,7.21,3.58,4.46,0,0,1.7,7.07,5.78,0,6.47,0,0,0,0,10.77,0,0
 72-82,19.69,2.02,0,14.46,0,9.07,0,1.02,0,0,0,4.02,0.73,0,0,1.63,0,0.58,6.31,0,0,0,0,6.86,0,4.15
 84-94,16.58,0,0,2.18,0,2.66,1.52,1.56,0,1.47,0,9.65,0,0,0,3.34,3.76,0,8.41,1.65,0,0,0,3.34,1.15,0
 96-106,4.72,0,0,1.58,0,2.51,0,0.68,0,2.61,0,0.62,0,0,0,5.66,0,0,0,0,0,0,0,0,0,0
108-118,15.98,0,0,0,0,15.63,0,0,1.24,0.85,0,2.03,0,0,0,5.5,0,0,6.44,0,0,0,0,8.19,0,0
120,19.99,0,5.82,2.84,0,9.39,0,0,0,1.6,0,21.01,0,0,1.26,12.18,0,0,3.15,0,0,0,0,9.24,0,0
