stage,epidermis,eye,fin.epithelia,fin.mesenchyme,glial,iridophores,melanocytes,mesenchyme,mucous,muscle,neural,otic,paraxial.mesoderm,periderm,spinal.cord,vascular.smooth.muscle,xanthophores
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,3.74,0,0,0,0
 14-21,2.67,0,0,0,0,0,0,2.9,0,0,1.5,0,0,0,2.62,0,0
 24-34,1.05,0,0.82,0,0,0,0,2.8,2.05,0,2.54,0,0,0,0.71,0,0
 36-46,0,0,0,0,0.97,0,0,1.75,0,0,5.43,0.82,0,0,5.21,0,6.07
 48-58,0,3.62,0,0,0.97,0,0.5,1.08,0,0.74,4.86,0,0,0,1.47,0,0
 60-70,0,8.86,0,0,2.77,0,0,5.95,0,0,9.47,0,0,0,0,0,0
 72-82,0.84,15.32,7.85,0,0,0,0,9.31,0,0,12.28,0,0,0,0,0,0.55
 84-94,0.55,7.02,0,0,1.87,0,0,2.42,0,0,7.36,0,0,1.16,0.73,0.59,0
 96-106,0,6.03,0,0.64,5.56,0,0,3.42,0,0,6.64,0,0,0,0,0,1.41
108-118,0,1.84,0,0,1.87,1.69,0,2.52,0.53,0,11.48,2.83,0,0,0,0,0.93
120,0,19.31,0,0,0,0,0,11.92,0,0,0,0,0,0,0,0,0
