stage,blastomeres,endocrine.pancreas,epidermis,erythrocytes,exocrine.pancreas,eye,fin.epithelia,glial,gut,immune,mesenchyme,mural.cell,muscle,neural,olfactory,paraxial.mesoderm,spinal.cord,xanthophores
  3-4,72.6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,6.11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,9.05,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4.41,0,0
 14-21,0,0,0.85,2.32,0,0,0,0,0,0,0,0,0,1.19,0,0,0.88,0
 24-34,0,0,0,0,0,0,0,0,0,0,0.62,0,0,3.77,0,0,0,0
 36-46,0,0,0,1.14,0,0,0,0,0,0,0,0,0.88,9.34,0,0,0,0
 48-58,0,0,1.39,0.45,0,0.89,0,2.17,0,0,2.61,0.42,0.67,13.36,0,0,0.77,0
 60-70,0,0,0,0,0,2.48,0,0,0,0,0,0.76,0,0,0.96,0,0,0
 72-82,0,0,0,1.86,0,0,0,2.82,0.81,0.55,0,0,0.94,3.72,3.1,0,1.47,0
 84-94,0,1.11,0.58,1.51,0,0,0.62,3.18,0,0.64,0,0,0,7.17,0,0,0,0
 96-106,0,0,0,0,0,3.34,0,0.96,1.68,3.9,11.1,0,0,3.7,0,0,0,1.13
108-118,0,0,0,3.16,0.85,0.59,0,2.57,2.48,2.62,2.75,0,0,14.48,0,0,0,0
120,0,0,2.63,2.76,0,6.85,0,0,0,5.11,0,0,0,0,0,0,0,0
