stage,blastomeres,endocrine_pancreas,endoderm,epidermis,erythrocytes,exocrine_pancreas,eye,fin_epithelia,fin_mesenchyme,glial,gut,hatching_gland,heart,immune,ionocyte,iridophores,lateral_line,liver,melanocytes,mesenchyme,mucous,mural_cell,muscle,neural,notochord,olfactory,otic,pericytes,periderm,pronephros,slow_muscle,spinal_cord,taste,vascular_smooth_muscle,vasculature,visceral_smooth_muscle
  3-4,33.91,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.22,0,0,0,0,0,0,0
  5-6,20.88,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.07,0,0,0,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,5.18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,26.54,0,0,0,0,0,0
 14-21,0,0,0,0.81,14.04,0,0,0,0,0,0,0.82,0,0,1.08,0,0,0,0,0.86,0,0,0,0.97,0,0,0,0,0,82.29,0,0,0,0,7.97,0
 24-34,0,0,0,0,0.66,0,0,0,0.79,0,0,0,0,1.8,12.25,0,0,0,0,0.77,0,0,0,23.47,0,1.78,9.09,0,0,286.79,3.1,0,0,0,65.8,0
 36-46,0,0,0,0,8.68,0,0.81,0,0,1.53,1.34,0,6.33,15.74,24.1,0,0,1.07,0.7,5.8,1.95,0,0,45.18,0,1.53,13.46,0,0,174.84,0,0,0,0,74.44,0
 48-58,0,0,0,4.97,0,0,10.39,0,0,0.41,2.65,0,2.71,12.42,17.59,0,0,0,9.22,25.81,3.32,0,0.53,29.3,0,0.92,11.41,0,0,104.24,0,4.33,0,0,69.29,0
 60-70,0,0,0,14.37,1.48,0,19.87,7.35,0.84,1.52,20.66,0,0,3.98,19.64,2.33,0,5.17,50.14,90.3,0,0,1.17,24.67,1.87,3.23,10.63,1.08,3.69,91.24,0,12.31,0,0,73.78,0
 72-82,0,5.84,0,23.34,3.54,1.86,12.69,1.14,1.6,3.89,58.74,0,5.32,8.63,14.63,5.94,2.81,0,23.51,174.09,0,0.81,0,38.75,0,6.27,20.31,0,0,83.14,0,2.02,0,1.15,133.04,0
 84-94,0,3.6,0,49.47,0,0,55.55,3.48,0,4.55,89.89,0,0,16.58,25.95,2.89,7.2,1.49,45.8,142.24,0.65,0,0.58,27.54,0,17.99,45.74,0,3.01,150.9,0,2.26,2.36,0.88,91,10.35
 96-106,0,1.86,2.24,55.17,8.96,0,20.04,2.82,0,3.74,101.25,0,1.57,15.3,41.8,0,10.38,0,25.04,148,3.13,5.84,0,38.15,0,21.68,47.61,1.3,8.39,137.89,0,5.83,0,2,105.16,0
108-118,0,0.98,1.2,62.87,2.3,0,16.95,3.73,0,0.67,112.09,0,0,15.26,53.05,3.66,5.68,7.3,42.22,132.9,1.27,0,1.45,30.03,0,16.34,49.84,0,2.46,119.13,0,0,0,1.56,85.9,0
120,0,6.42,3.32,71.51,7.14,0,47.91,2.64,0,8.28,85.07,0,3.06,50.94,34.51,0,17.53,3.84,19.73,126.5,0,0,0,62.48,0,31.06,58.28,0,3.79,82.62,0,0,0,6,177.56,0
