X_tage,X_xial,X_lastomeres,X_ndocrine_pancreas,X_ndoderm,X_pidermis,X_rythrocytes,X_xocrine_pancreas,X_ye,X_ast_muscle,X_in_epithelia,X_in_mesenchyme,X_lial,X_ut,X_atching_gland,X_eart,X_mmune,X_onocyte,X_ridophores,X_ateral_line,X_iver,X_elanocytes,X_esenchyme,X_ucous,X_ural_cell,X_uscle,X_eural,X_otochord,X_lfactory,X_tic,X_araxial_mesoderm,X_ericytes,X_eriderm,X_gc,X_resomitic_mesoderm,X_ronephros,X_low_muscle,X_omites,X_pinal_cord,X_aste,X_ascular_smooth_muscle,X_asculature,X_isceral_smooth_muscle,X_anthophores
  3-4,35.83,986.25,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,30.91,0,0,0,0,0,0,0,0,0,0,0
  5-6,37.09,999.09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22.15,0,0,0,7.5,0,7.41,0,0,0,0,0,0,0,0,0,0,0
  7-9,30.12,29.95,0,54.27,0,0,0,357.95,0,0,0,0,0,65.52,0,0,0,0,0,0,0,0,0,0,0,1982.76,32.62,0,0,600.23,0,8.38,5.5,0,0,0,0,0,0,0,0,0,0
 10-12,0,137.39,0,155.62,0,13.62,0,502.75,0,0,0,0,0,63.78,0,0,0,0,0,0,0,0,0,0,0,4820.99,99.23,0,0,967.14,0,6.39,17.87,13.5,113.35,0,0,12.8,0,0,0,0,0
 14-21,2.27,0,0,37.98,471.25,189.31,0,569.21,0,0.88,0,71.4,16.95,13,1.92,4.9,16.82,7.57,1.14,2.91,0,266.67,1.8,0,170.14,5172.97,100.57,10.18,51.24,96.52,0,121.69,5.03,238.18,18.85,20.76,205.77,1174.12,0,0,18.56,0,0
 24-34,4.02,1.67,0.96,26.55,175.1,87.46,0,1226.99,0,1.39,3.85,109.85,26.24,6.82,4.89,13.74,11.07,20.23,16.07,24.89,4.05,444.42,2.87,6.55,166.92,6014.51,31.15,40.86,88.27,1,0.99,143.78,0.98,4.89,16.81,5.41,42.5,1162.9,0,0,89.28,0,35.89
 36-46,0,0,0,5.95,96.82,11.37,0,1485,0.68,1.23,3.53,96.57,12.04,0,2.5,24.21,7.49,9.11,6.55,20.35,0.82,330.9,0.65,15.13,86.83,3506.86,19.54,24.28,53.54,0,4.12,99.85,1.02,1.39,21.48,0,0.6,668.24,0,1.37,31.57,0,46.58
 48-58,0,0,0,0,81.45,16.22,0,1428.62,1.07,9.54,6.3,154.4,14.08,0,2.78,11.06,11.45,7.86,6.27,24.22,6.56,316.58,2.17,12.96,72.91,1954.28,14.43,9.59,19.91,0,0.61,60.61,0.56,0,3.98,0,0,289.16,0,0.4,36.84,0,34.3
 60-70,0,0,0,0,77.84,2.7,0,950.32,3.7,6.43,6.87,169.59,18.93,0,2.16,18.97,3.74,13.89,5.94,11.86,6.98,261.13,3.1,28.51,51.49,1316.33,3.38,7.89,11.63,0,1.37,33.16,0,0,0.6,0,0,107.15,3.61,0,17.63,0,26.82
 72-82,0,0,1.69,3.31,55.44,11.95,3.09,631.16,0.55,6.46,9.36,156.37,26.44,0,10.99,14.64,6.3,3,11.78,15.68,1.79,285.68,0.71,16.05,62.33,1123.43,2.22,23.9,23.28,0,1.08,41.85,0,0,2.51,0,0,71.77,10.12,0,33.14,2,19.16
 84-94,0,0,1.26,0.62,98.11,24.6,9.33,427.24,0.68,3.16,11.13,104.18,28.42,0.77,3.04,18.29,3.55,7.22,4.64,16.8,0,236.83,3.3,12.23,49.65,649.97,2.59,10.43,25.38,0,0.79,78.73,0,0,1.49,0,0,28.27,9.32,3.36,37.08,1.4,1.04
 96-106,0,0,3.64,0,101.32,54.48,3.06,386.04,0,7.43,18.48,120.56,26.14,0,7.92,40.47,6.27,3.51,16.78,19.34,0.57,242.67,5.45,7.74,38.87,684.76,8.02,15.25,24.29,0,4.1,97.05,2.46,0,6.46,0,0,42.74,2.25,2.04,48.25,5.08,12.8
108-118,0,0,0.84,0.74,132.02,34.1,17.95,323.14,2.72,13.54,16.96,196.69,21.71,0,3.81,26.52,8.09,6.46,6.81,41.5,0.72,197.85,2.55,9.13,51.85,903.12,4.2,14.56,18.05,0,3.83,127.4,0.48,0,4.48,0,0,29.37,3.93,0,28.07,1.87,11.44
120,0,0,4.41,0,175.44,62.97,3.79,477.88,1.06,11.87,12.14,229.81,30.04,0,3.08,87.05,2.52,4.74,7.36,17.57,1.64,318.46,0,27.27,64.66,1146.89,9.3,1.46,4.9,0,12.53,96.4,2.3,0,2.27,0,0,45.52,5.08,8.26,41.03,6.59,0
