stage,blastomeres,epidermis,erythrocytes,eye,glial,immune,ionocyte,lateral.line,liver,mesenchyme,neural,olfactory,otic,periderm,somites,spinal.cord,taste,vasculature,visceral.smooth.muscle,xanthophores
  3-4,49.73,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  5-6,34.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
  7-9,0,0,0,0,0,0,0,0,0,0,12.71,0,0,0,0,0,0,0,0,0
 10-12,0,0,0,0,0,0,0,0,0,0,12.36,0,0,0,0,0,0,0,0,0
 14-21,0,0,0,0,0,0,0,0,0,0,3.05,0,0,1.55,0.92,1.11,0,0,0,0
 24-34,0,0,0,5.21,3.73,0,0,0,0,1.44,14.99,0,20.27,0,0,0,0,0,0,0
 36-46,0,0,0,21,1.54,0,0,0,0,0.86,32.29,0,7.19,1.18,0,3.91,0,0,0,0
 48-58,0,0,0,26.59,4.01,0,0,3,0,1.07,46.89,0,31.36,0,0,1.81,0,0,0,0
 60-70,0,0,0,130.99,8.76,0,0,13.03,0,1.17,12.01,0,54.56,0,0,3.65,0,0,0,4.43
 72-82,0,0,0,111.21,7.82,0.49,0,29.44,0,2.56,25.57,0.91,115.98,0,0,0,0,4.06,0,0
 84-94,0,0,0,88.9,3.52,0,0,27.84,0,1.87,14.02,0,142.1,1.78,0,1.13,0,0,0,0
 96-106,0,0.74,8.49,64.24,6.55,0,0,85.78,0,0,19.74,0,192.87,0.72,0,2.34,0,0,0,4.53
108-118,0,0,0,70.61,10.29,0,0.44,61.03,0,4.01,18.9,0,177.67,0,0,3.28,1.87,0,0.49,0
120,0,0,0,56.16,36.65,0,0,60.44,2.7,0,49.31,0,237.86,0,0,5.94,0,0,0,0
